normalized_name,canonical_name,object_count_in_king_episodes,is_background_object,is_story_relevant_candidate
sculpture,Sculpture,190,False,False
stalagmite,Stalagmite,189,False,False
stool,Stool,187,True,False
small candle holder,Small Candle Holder,187,False,False
spice,Spice,187,False,False
towering arch of marble and silver,Towering Arch Of Marble And Silver,186,False,False
flame,Flame,186,False,False
floor decorations,Floor Decorations,186,False,False
vase,Vase,186,False,False
marbled floor,Marbled Floor,186,False,False
windows,Windows,186,False,False
ornate stonework,Ornate Stonework,186,False,False
big bed,Big Bed,185,False,False
bench made of stone,Bench Made Of Stone,183,False,False
stove,Stove,183,False,False
gold clothing,Gold Clothing,183,False,True
rose,Rose,183,False,False
huge window in the front,Huge Window In The Front,182,False,False
row,Row,182,False,False
spoon,Spoon,181,False,False
wine,Wine,181,False,False
shell,Shell,180,False,False
vine,Vine,179,False,False
iron maiden,Iron Maiden,179,False,False
helmet,Helmet,178,False,False
cookpot,Cookpot,176,False,False
map,Map,175,False,True
fire place,Fire Place,175,False,False
things,Things,174,False,False
wildflower,Wildflower,174,False,False
dead creature,Dead Creature,173,False,False
footprint,Footprint,173,False,False
piece of fortune,Piece Of Fortune,172,False,False
sign,Sign,171,False,False
gate,Gate,170,False,False
flag,Flag,169,False,False
large green land,Large Green Land,169,False,False
plush mattress,Plush Mattress,169,False,False
chifferobe,Chifferobe,169,False,False
hats,Hats,169,False,False
stands,Stands,168,False,False
huge bed,Huge Bed,168,False,False
lever,Lever,168,False,False
rat,Rat,168,False,False
lush maroon carpet,Lush Maroon Carpet,168,False,False
artifact,Artifact,165,False,False
fish,Fish,165,False,False
key,Key,164,False,True
shoes,Shoes,163,False,False
cloth and drape,Cloth And Drape,163,False,False
small village,Small Village,162,False,False
silk,Silk,161,False,False
comfortable cushion,Comfortable Cushion,160,False,False
dish,Dish,158,False,False
vegetable,Vegetable,158,False,False
quilts,Quilts,158,False,False
bucket for eliminating waste,Bucket For Eliminating Waste,157,False,False
wardrobe,Wardrobe,156,False,False
armory,Armory,156,False,False
rusty anchor,Rusty Anchor,156,False,False
coffin,Coffin,155,False,False
wooden chair with one leg broken,Wooden Chair With One Leg Broken,155,False,False
glass,Glass,155,False,False
artwork,Artwork,155,False,False
home,Home,155,False,False
cannon,Cannon,155,False,False
small bed,Small Bed,154,False,False
piano,Piano,154,False,False
odd and end,Odd And End,154,False,False
fan,Fan,154,False,False
chest,Chest,154,False,True
text,Text,154,False,False
gravestone,Gravestone,154,False,False
signal fire,Signal Fire,153,False,False
single bulb of light,Single Bulb Of Light,152,False,False
wet outer wear,Wet Outer Wear,152,False,False
welcome mat,Welcome Mat,152,False,False
ghost,Ghost,152,False,False
cow,Cow,150,False,False
peg,Peg,150,False,False
colorful painting,Colorful Painting,149,False,False
wooden chair,Wooden Chair,149,False,False
instrument,Instrument,149,False,False
river,River,148,False,False
lamps,Lamps,147,False,False
daimond,Daimond,147,False,False
dirty wooden bucket,Dirty Wooden Bucket,147,False,False
trinket,Trinket,146,False,False
stretched canvas,Stretched Canvas,145,False,False
pond,Pond,145,False,False
big rug,Big Rug,145,False,False
tar,Tar,145,False,False
soft bed,Soft Bed,145,False,False
big window,Big Window,145,False,False
candle stick,Candle Stick,144,False,False
cherry wood colored table,Cherry Wood Colored Table,144,False,False
piece of armor,Piece Of Armor,144,False,True
gilded mirror,Gilded Mirror,144,False,False
slight fog,Slight Fog,143,False,False
gigantic and lavish marble pier,Gigantic And Lavish Marble Pier,142,False,False
pier,Pier,142,False,False
longbows,Longbows,142,False,False
fine white sand,Fine White Sand,142,False,False
bow and arrow,Bow And Arrow,141,False,False
escape tunnel,Escape Tunnel,141,False,False
coat,Coat,141,False,False
sewer,Sewer,140,False,False
hard bench,Hard Bench,140,False,False
corn,Corn,140,False,False
observatory,Observatory,140,False,False
large dark oak and gold bench,Large Dark Oak And Gold Bench,140,False,True
basket,Basket,140,False,False
training apparatus,Training Apparatus,140,False,False
bail,Bail,140,False,False
shovel,Shovel,139,False,False
dry dock,Dry Dock,139,False,False
chamber pot discreetly hidden,Chamber Pot Discreetly Hidden,139,False,False
field,Field,135,False,False
arena,Arena,134,False,False
crest,Crest,134,False,False
magical crystal,Magical Crystal,134,False,False
emblem,Emblem,134,False,False
manical,Manical,133,False,False
sword of the guards,Sword Of The Guards,133,False,True
brown cloth door,Brown Cloth Door,131,False,False
watering can,Watering Can,131,False,False
pink and white outline,Pink And White Outline,130,False,False
fur,Fur,130,False,False
place,Place,130,False,False
treasures,Treasures,130,False,False
fields,Fields,130,False,False
front door,Front Door,130,False,False
lush green trees,Lush Green Trees,130,False,False
drape,Drape,129,False,False
patch,Patch,129,False,False
vanity,Vanity,129,False,False
small wooden bowl,Small Wooden Bowl,129,False,False
town,Town,128,False,False
grape juice,Grape Juice,128,False,False
large pile of hay,Large Pile Of Hay,128,False,False
target,Target,127,False,False
pillar,Pillar,127,False,False
waterfall,Waterfall,127,False,False
gallows,Gallows,127,False,False
bush,Bush,126,False,False
weights,Weights,126,False,False
targets,Targets,126,False,False
small dirt country road,Small Dirt Country Road,126,False,False
bed big,Bed Big,126,False,False
shed,Shed,126,False,False
hall,Hall,126,False,False
paintings of ancestor,Paintings Of Ancestor,126,False,False
small flap,Small Flap,125,False,False
largest trash heap,Largest Trash Heap,125,False,False
bottle of wine,Bottle Of Wine,125,False,False
lavender,Lavender,124,False,False
seagull,Seagull,123,False,False
swing,Swing,123,False,False
food tray,Food Tray,122,False,False
peasant,Peasant,121,False,False
pelican,Pelican,121,False,False
torture implements,Torture Implements,121,False,False
piling,Piling,121,False,False
cabinet,Cabinet,120,False,False
gunpowder,Gunpowder,120,False,False
bathroom pot,Bathroom Pot,119,False,False
huge frost window,Huge Frost Window,119,False,False
gold trim,Gold Trim,119,False,True
frost window,Frost Window,119,False,False
big organ,Big Organ,119,False,False
wooden platform,Wooden Platform,117,False,False
cobbled walkway,Cobbled Walkway,117,False,False
hammer,Hammer,117,False,False
record,Record,117,False,False
platform,Platform,117,False,False
decay,Decay,116,False,False
moldy,Moldy,116,False,False
fetilizer,Fetilizer,116,False,False
place mat,Place Mat,116,False,False
death,Death,116,False,False
rot,Rot,116,False,False
zombie,Zombie,116,False,False
golden goblet,Golden Goblet,116,False,False
gangrene,Gangrene,116,False,False
chamber pot,Chamber Pot,116,False,False
chain mail,Chain Mail,115,False,False
leather cloth,Leather Cloth,115,False,False
metal,Metal,115,False,False
pastel sky,Pastel Sky,115,False,False
stone bench,Stone Bench,114,False,False
palm tree,Palm Tree,114,False,False
gown,Gown,114,False,False
stone arch,Stone Arch,113,False,False
shoe,Shoe,113,False,False
quill,Quill,113,False,False
crevice,Crevice,113,False,False
low grass,Low Grass,113,False,False
oak tree,Oak Tree,113,False,False
rocky cliffs,Rocky Cliffs,113,False,False
small water spring,Small Water Spring,112,False,False
observation deck,Observation Deck,112,False,False
bright colored curtains,Bright Colored Curtains,112,False,False
rotting meat,Rotting Meat,112,False,False
countryside,Countryside,112,False,False
vessel,Vessel,112,False,False
golden cloth,Golden Cloth,112,False,False
potion and cure,Potion And Cure,112,False,True
beautiful farmland,Beautiful Farmland,112,False,False
debris,Debris,112,False,False
beautiful land,Beautiful Land,112,False,False
benches,Benches,112,False,False
kitchen,Kitchen,112,False,False
cauldron,Cauldron,112,False,False
blood,Blood,112,False,False
mop bucket,Mop Bucket,111,False,False
bodies,Bodies,111,False,False
art,Art,111,False,False
crossbow with no string,Crossbow With No String,111,False,False
drapery,Drapery,109,False,False
gem,Gem,109,False,True
sculptures,Sculptures,109,False,False
sea monster,Sea Monster,108,False,False
railing,Railing,108,False,False
hull,Hull,108,False,False
eye,Eye,108,False,False
sea monster on the bow,Sea Monster On The Bow,108,False,False
sandy beach,Sandy Beach,107,False,False
diamond,Diamond,107,False,False
stick,Stick,106,False,False
torture instrument,Torture Instrument,104,False,False
dinner table,Dinner Table,104,False,False
head,Head,103,False,False
vegetable or plant,Vegetable Or Plant,103,False,False
flowerpot,Flowerpot,102,False,False
personalized tomb,Personalized Tomb,102,False,False
cooking pot,Cooking Pot,102,False,False
tombs,Tombs,102,False,False
wind,Wind,101,False,False
ornate table,Ornate Table,101,False,False
fine art,Fine Art,100,False,False
towel,Towel,100,False,False
golden trim,Golden Trim,100,False,False
pub,Pub,100,False,False
gold hair,Gold Hair,100,False,True
door knocker,Door Knocker,100,False,False
blacksmith,Blacksmith,100,False,False
beautiful blossoming jasmine flowers,Beautiful Blossoming Jasmine Flowers,100,False,False
turtle,Turtle,100,False,False
floor to ceiling mirror,Floor To Ceiling Mirror,99,False,False
crack,Crack,99,False,False
end table,End Table,99,False,False
king's armor,King'S Armor,99,False,True
lounges,Lounges,99,False,False
chaises,Chaises,99,False,False
gardening equipment,Gardening Equipment,98,False,False
step,Step,98,False,False
alarm horn,Alarm Horn,98,False,False
chapel,Chapel,98,False,False
cold stone wall,Cold Stone Wall,97,False,False
milk,Milk,97,False,False
corridor,Corridor,97,False,False
kingdom,Kingdom,97,False,False
secret tunnel,Secret Tunnel,97,False,False
rag dool with the head detached,Rag Dool With The Head Detached,97,False,False
temple of the gods,Temple Of The Gods,96,False,False
insect,Insect,96,False,False
temple entrance,Temple Entrance,96,False,False
lance,Lance,96,False,False
tapes and records,Tapes And Records,96,False,False
implements,Implements,95,False,False
cactus,Cactus,95,False,False
armor set,Armor Set,95,False,True
fork,Fork,95,False,False
tempior market,Tempior Market,95,False,False
tavern,Tavern,95,False,False
bag,Bag,94,False,False
rake,Rake,94,False,False
basin,Basin,94,False,False
booth,Booth,93,False,False
knight fighting gear,Knight Fighting Gear,93,False,False
dusty floor,Dusty Floor,93,False,False
sheer screen,Sheer Screen,93,False,False
rusty gate,Rusty Gate,93,False,False
skins,Skins,93,False,False
religious text,Religious Text,93,False,False
green short grass,Green Short Grass,92,False,False
small alter,Small Alter,92,False,False
knights armor,Knights Armor,92,False,True
spear,Spear,91,False,False
clothes line,Clothes Line,90,False,False
fluid,Fluid,89,False,False
manacle,Manacle,89,False,False
crate,Crate,89,False,False
wooden bar,Wooden Bar,89,False,False
tongs,Tongs,88,False,False
thick water,Thick Water,88,False,False
eggs,Eggs,88,False,False
potted flower,Potted Flower,88,False,False
religous texts,Religous Texts,87,False,False
flail,Flail,87,False,False
ship,Ship,87,False,False
sickle,Sickle,87,False,False
candelabra,Candelabra,87,False,False
lion,Lion,86,False,False
wooden stools,Wooden Stools,86,False,False
cobblestone walkway,Cobblestone Walkway,86,False,False
potion,Potion,85,False,True
dead people,Dead People,85,False,False
fire pit,Fire Pit,85,False,False
corroded vessels placed,Corroded Vessels Placed,85,False,False
skinning knife,Skinning Knife,85,False,True
adornment,Adornment,85,False,False
pine tree,Pine Tree,84,False,False
haystack,Haystack,84,False,False
poster,Poster,84,False,False
claw foot tub,Claw Foot Tub,84,False,False
anvil,Anvil,84,False,False
priceless pieces of art,Priceless Pieces Of Art,84,False,False
crane,Crane,84,False,False
ceremonial hat,Ceremonial Hat,84,False,False
lagoon,Lagoon,84,False,False
opening,Opening,84,False,False
passage,Passage,84,False,False
stained-glass window,Stained-Glass Window,84,False,False
colorful wildlife,Colorful Wildlife,84,False,False
ancient armor,Ancient Armor,84,False,True
device,Device,84,False,False
drink,Drink,84,False,False
couch,Couch,83,False,False
garden bench,Garden Bench,83,False,False
herb garden,Herb Garden,82,False,False
torture equipment,Torture Equipment,82,False,False
paddle,Paddle,82,False,False
awning,Awning,82,False,False
babbling brook,Babbling Brook,81,False,False
pottery,Pottery,81,False,False
moldy bread,Moldy Bread,81,False,False
ball,Ball,81,False,False
mermaid,Mermaid,79,False,False
heavy blanket,Heavy Blanket,79,False,False
turquoise color water,Turquoise Color Water,79,False,False
thing,Thing,79,False,False
chalice,Chalice,78,False,False
hunting rifles,Hunting Rifles,78,False,False
polishing cloths,Polishing Cloths,78,False,False
fountaints,Fountaints,78,False,False
forge,Forge,77,False,False
hammers,Hammers,77,False,False
wooden workbench,Wooden Workbench,77,False,False
torn fabric,Torn Fabric,77,False,False
rune,Rune,77,False,False
copper vase,Copper Vase,76,False,False
whip,Whip,75,False,False
courtyard,Courtyard,75,False,False
money,Money,75,False,False
gun,Gun,75,False,False
dart board,Dart Board,75,False,False
roots,Roots,74,False,False
floor decor,Floor Decor,74,False,False
lake,Lake,74,False,False
blade,Blade,74,False,False
reeds,Reeds,73,False,False
barrel of salted herring,Barrel Of Salted Herring,72,False,False
luxuriously soft couch,Luxuriously Soft Couch,72,False,False
small wooden house,Small Wooden House,72,False,False
farm,Farm,72,False,False
broken cutlass,Broken Cutlass,72,False,False
food storage,Food Storage,71,False,False
arrowhead,Arrowhead,71,False,False
homeless,Homeless,71,False,False
iron,Iron,71,False,False
clouds,Clouds,70,False,False
sky,Sky,70,False,False
ornate chair,Ornate Chair,70,False,False
dripping water,Dripping Water,70,False,False
dome,Dome,70,False,False
road,Road,70,False,False
telescope,Telescope,70,False,False
rope bridge,Rope Bridge,70,False,False
wrought iron chandelier,Wrought Iron Chandelier,70,False,False
bridge,Bridge,70,False,False
pen for the chickens,Pen For The Chickens,70,False,False
red silk prayer bench,Red Silk Prayer Bench,70,False,False
chandlier,Chandlier,70,False,False
ladder,Ladder,70,False,False
loft,Loft,70,False,False
spiderwebs,Spiderwebs,70,False,False
structure,Structure,70,False,False
wooden chest,Wooden Chest,70,False,True
foot print,Foot Print,70,False,False
lighthouse,Lighthouse,70,False,False
fireplace,Fireplace,70,True,False
shops,Shops,70,False,False
weaponry,Weaponry,70,False,False
old mop,Old Mop,69,False,False
kings sword,Kings Sword,69,False,True
royal coat of arms,Royal Coat Of Arms,68,False,False
king's flagon,King'S Flagon,68,False,False
beam,Beam,67,False,False
precious gem,Precious Gem,67,False,True
lily pad,Lily Pad,67,False,False
banquet,Banquet,67,False,False
giant firepit,Giant Firepit,67,False,False
adventurer's remains,Adventurer'S Remains,67,False,False
rabbit fur coverlet,Rabbit Fur Coverlet,66,False,False
ink pot,Ink Pot,66,False,False
small bucket,Small Bucket,66,False,False
protective gear,Protective Gear,65,False,False
big wooden table,Big Wooden Table,65,False,False
oak wood,Oak Wood,65,False,False
wooden cross,Wooden Cross,65,False,False
mug,Mug,65,False,False
aisle,Aisle,65,False,False
sack,Sack,63,False,False
needle,Needle,63,False,False
quills,Quills,62,False,False
ornate goblet,Ornate Goblet,62,False,False
scale,Scale,61,False,False
log,Log,60,False,False
brush,Brush,60,False,False
angel,Angel,60,False,False
wedding ring,Wedding Ring,60,False,True
ancient relic,Ancient Relic,60,False,False
hanging religious carving,Hanging Religious Carving,60,False,False
nails,Nails,60,False,False
huge lock on door,Huge Lock On Door,59,False,False
embalming equipment,Embalming Equipment,59,False,False
feces,Feces,59,False,False
garden,Garden,59,False,False
smoke,Smoke,59,False,False
primitive fishing pole,Primitive Fishing Pole,59,False,False
desk chair,Desk Chair,59,False,False
small pool of water,Small Pool Of Water,58,False,False
jar,Jar,58,False,False
dim lamp,Dim Lamp,58,False,False
bale,Bale,58,False,False
wildlife,Wildlife,57,False,False
frog,Frog,57,False,False
plant matter,Plant Matter,57,False,False
large leaves,Large Leaves,57,False,False
old shack,Old Shack,57,False,False
rusty bar,Rusty Bar,57,False,False
pine cone,Pine Cone,57,False,False
carved statue,Carved Statue,57,False,False
cliff,Cliff,57,False,False
branch,Branch,56,False,False
rectory,Rectory,56,False,False
cave,Cave,56,False,False
pirate,Pirate,56,False,False
napkin,Napkin,56,False,False
pulpit,Pulpit,56,False,False
bit for horse,Bit For Horse,56,False,False
trees,Trees,56,False,False
footstool,Footstool,56,False,False
clam,Clam,56,False,False
fresh red paint,Fresh Red Paint,56,False,False
gravel,Gravel,56,False,False
horse trough,Horse Trough,56,False,False
steering wheel,Steering Wheel,56,False,False
wooden wall,Wooden Wall,56,False,False
incense burner,Incense Burner,56,False,False
barrack,Barrack,56,False,False
dining hall,Dining Hall,56,False,False
dirty and grimy floor,Dirty And Grimy Floor,56,False,False
confessional,Confessional,56,False,False
bonfire,Bonfire,56,False,False
water gate is all harden wood,Water Gate Is All Harden Wood,56,False,False
bulb,Bulb,56,False,False
water gate,Water Gate,56,False,False
coconut tree,Coconut Tree,56,False,False
long wooden dining table,Long Wooden Dining Table,56,False,False
musty shelves,Musty Shelves,56,False,False
wheelbarrow,Wheelbarrow,56,False,False
spring nearby,Spring Nearby,56,False,False
harness,Harness,54,False,False
sword on the wall,Sword On The Wall,53,False,True
leaf,Leaf,53,False,False
carvings,Carvings,53,False,False
baptismal font,Baptismal Font,52,False,False
books,Books,52,False,False
rag,Rag,52,False,False
crow's nest full of emeralds,Crow'S Nest Full Of Emeralds,52,False,False
handle,Handle,51,False,False
purple runner carpets,Purple Runner Carpets,51,False,False
case,Case,51,False,False
muddy chute,Muddy Chute,51,False,False
ornate plate,Ornate Plate,51,False,False
bear rug,Bear Rug,50,False,False
oak door,Oak Door,50,False,False
boulders,Boulders,49,False,False
fishing net,Fishing Net,49,False,False
bible,Bible,49,False,False
enchanted amulet,Enchanted Amulet,49,False,False
trident,Trident,48,False,False
gold bar,Gold Bar,48,False,True
crucifix,Crucifix,48,False,False
king's crown,King'S Crown,48,False,True
painting of mother mary,Painting Of Mother Mary,48,False,False
poison ivy,Poison Ivy,48,False,False
chicken,Chicken,48,False,False
incense,Incense,47,False,False
large pet lion,Large Pet Lion,47,False,False
paper,Paper,47,False,False
basket of grain,Basket Of Grain,46,False,False
treasure map,Treasure Map,46,False,True
lush tapestry,Lush Tapestry,46,False,False
cape,Cape,46,False,False
pen,Pen,46,False,False
eisel,Eisel,46,False,False
brook,Brook,46,False,False
offering plate,Offering Plate,46,False,False
paint brushes,Paint Brushes,45,False,False
silerware,Silerware,45,False,False
plain pretty basic wooden cabin,Plain Pretty Basic Wooden Cabin,45,False,False
wheat,Wheat,45,False,False
rope work,Rope Work,45,False,False
worm,Worm,45,False,False
dress,Dress,44,False,False
scepter,Scepter,44,False,False
wizard,Wizard,44,False,False
seed,Seed,43,False,False
wood floor,Wood Floor,43,False,False
sleeping bag,Sleeping Bag,43,False,False
hatchet,Hatchet,43,False,False
cougar,Cougar,43,False,False
filth from kingdom,Filth From Kingdom,43,False,False
cabin,Cabin,43,False,False
trowel,Trowel,43,False,False
instruments of torture,Instruments Of Torture,43,False,False
gravestones some at oblique angles,Gravestones Some At Oblique Angles,43,False,False
velvet cushion,Velvet Cushion,43,False,False
ink well,Ink Well,43,False,False
horse tack,Horse Tack,43,False,False
small gazebo,Small Gazebo,42,False,False
lamp post,Lamp Post,42,False,False
splinter,Splinter,42,False,False
vat,Vat,42,False,False
beaker,Beaker,42,False,False
public bath,Public Bath,42,False,False
fog,Fog,42,False,False
smoke and light,Smoke And Light,42,False,False
huge vat of brewing liquid,Huge Vat Of Brewing Liquid,42,False,False
sand for the cacti,Sand For The Cacti,42,False,False
pail,Pail,42,False,False
tapestrie,Tapestrie,42,False,False
ale,Ale,42,False,False
placard,Placard,42,False,False
iron gate,Iron Gate,42,False,False
knight,Knight,42,False,False
headstone,Headstone,42,False,False
