normalized_name,canonical_name,location_category,king_episode_count
prisoners cells,Prisoners Cells,Dungeon,13
launching point,Launching point,Lake,13
dining hall,Dining hall,Inside Castle,13
castle exit,castle exit,Inside Castle,13
inside temple crypt,inside temple crypt,Inside Temple,13
queen's bedchamber,Queen's Bedchamber,Inside Palace,13
grand dancing hall,Grand Dancing Hall,Inside Palace,13
village at the base of the mountain,Village at the base of the Mountain,Mountain,13
courtyard exterior,Courtyard exterior,Outside Palace,13
secret tunnel,Secret tunnel,Cave,13
hidden garden,Hidden garden,Outside Palace,13
castle foothills,Castle foothills,Outside Tower,13
weapons storage room,the weapons storage room,Outside Castle,13
treasure room,Treasure Room,Inside Castle,13
secret tunnel,Secret Tunnel,Inside Castle,13
haunted orchard,Haunted Orchard,Farm,13
temple guard station,Temple guard station,Outside Temple,13
altar room,The altar room,Inside Temple,12
troll's lair,The Troll's Lair,Cave,12
top side tower overlooking view,Top side tower overlooking view,Outside Tower,12
tub,Tub,Inside Tower,12
bar,The bar,Tavern,12
throne room,The throne room,Inside Palace,12
town in the desert,Town in the desert,Wasteland,12
palace throne,Palace Throne,Inside Palace,12
desert land,desert land,Desert,12
tool shed,Tool Shed,Outside Cottage,12
captain's cabin,captain's cabin,Port,12
trash heap,Trash Heap,Wasteland,12
great armory,Great Armory,Inside Castle,12
princess' chamber,Princess' Chamber,Inside Tower,12
castle kitchen,Castle Kitchen,Inside Castle,12
bedding room,the bedding room,Inside Palace,12
jail entrance,Jail entrance,Inside Tower,12
pond,Pond,Wasteland,12
sacred temple,The Sacred Temple,Inside Church,12
peasant's cottage,peasant's cottage,Countryside,12
back of the stall,Back of the stall,Bazaar,12
master bedroom,Master Bedroom,Inside Palace,12
torture chamber,Torture Chamber,Dungeon,12
cemetery,Cemetery,Graveyard,12
old red barn,The old red barn,Farm,12
palace entrance,Palace Entrance,Inside Palace,12
open field,An Open Field,Farm,12
public execution stand,Public execution stand,Bazaar,12
cottage entryway,Cottage entryway,Inside Cottage,12
torture equipment storage room,Torture equipment storage room,Dungeon,11
princess' library,Princess' Library,Inside Palace,11
mysterious forest outskirts,mysterious forest outskirts,Forest,11
library,Library,Inside Castle,11
show room inside the castle,The Show Room Inside the Castle,Inside Castle,11
main gate,Main Gate,Outside Castle,11
stable,Stable,Farm,11
small hut,Small Hut,Jungle,11
arsenal,arsenal,Inside Tower,11
beach house,Beach House,Shore,11
wealthy area of town,Wealthy area of town,Town,11
arrow house,arrow house,Outside Castle,11
dungeon within a castle,Dungeon within a castle,Dungeon,11
quay,Quay,Port,11
bone pit,bone pit,Outside Temple,11
horse field,Horse field,Countryside,11
main foyer,main foyer,Inside Castle,11
trail exit,Trail Exit,Trail,11
lavoratory,Lavoratory,Inside Castle,11
royal farm,royal farm,Farm,11
temple marketplace,The Temple Marketplace,Inside Temple,11
knife seller,Knife Seller,Bazaar,11
moon observatory,The Moon Observatory,city in the clouds,10
dark kings throne room,The Dark Kings Throne Room,netherworld,10
dungeon,The dungeon,underwater aquapolis,10
fighting arena inside tourney grounds,Fighting Arena inside Tourney Grounds,supernatural,10
yurt,Yurt,Desert,10
queen's chamber,The Queen's Chamber,Inside Palace,10
tower sewers,Tower Sewers,Inside Tower,10
front row,Front Row,Inside Church,10
inside cottage kitchen,Inside cottage kitchen,Inside Cottage,10
torture room,Torture room,Dungeon,10
hunting grounds,Hunting grounds,Trail,10
attic,attic,Inside Palace,10
queen's quarters,Queen's quarters,Inside Palace,10
bank,Bank,Swamp,10
hillside mansion,Hillside Mansion,Countryside,10
church garden,Church garden,Outside Church,10
treasure cavern,Treasure Cavern,Inside Temple,10
outside temple,Outside Temple,Outside Temple,10
summit,Summit,Mountain,10
dry dock room,Dry Dock Room,underwater aquapolis,10
fountain of youth,The Fountain of Youth,magical realm,9
neptune's throne room,Neptune's throne room,underwater aquapolis,9
magic room,Magic Room,supernatural,9
lord's castle,Lord's Castle,netherworld,9
underground cavern,Underground Cavern,Cave,9
pharmacy,Pharmacy,Town,9
artillery room,Artillery room,Inside Tower,9
dining hall,Dining hall,Inside Tower,9
royal stables,Royal stables,Outside Castle,9
bedrooms,bedrooms,Inside Palace,9
beside tower entrance,beside tower entrance,Inside Tower,9
torture room,Torture Room,Dungeon,9
grand hall of the city,Grand hall of the City,city in the clouds,9
weapon closet,Weapon Closet,Inside Tower,9
lush meadow in the country side,Lush meadow in the country side,Countryside,9
fishing pier,Fishing Pier,Shore,9
training fields,Training Fields,Outside Palace,9
outside gates,Outside gates,Outside Cottage,9
whipping station,the whipping station,Outside Church,9
dungeon,Dungeon,Inside Temple,9
garden,Garden,Outside Cottage,9
saloon,Saloon,Tavern,9
gold room,Gold Room,Inside Tower,9
general store,General Store,Town,9
dangerous precipice,Dangerous Precipice,Mountain,9
church entryway,Church Entryway,Inside Church,9
gathering room,Gathering room,Inside Cottage,9
royal tomb,Royal Tomb,Inside Temple,9
balcony,Balcony,Inside Palace,9
curved hallway,Curved Hallway,Inside Tower,9
cave,Cave,Cave,9
port skyline,Port Skyline,Port,9
living quarters,The living quarters,Farm,8
underground chamber,Underground Chamber,Cave,8
basement,Basement,Inside Castle,8
confession box,The confession Box,Inside Church,8
confessions room,Confessions room,Inside Church,8
bat room,Bat room,Cave,8
sanctuary,Sanctuary,Inside Church,8
apple trees,Apple trees,Bazaar,8
king's dorm,King's Dorm,Inside Tower,8
cavern dwelling,cavern dwelling,Desert,8
inside tower,Inside Tower,Inside Tower,8
frozen outpost,Frozen Outpost,frozen tundra,8
den,Den,frozen tundra,8
sitting room,sitting room,Inside Cottage,8
storage room,Storage room,Dungeon,8
temple gardens,Temple gardens,Outside Temple,8
middle of the bazaar,Middle of the Bazaar,Bazaar,8
temple entrance,Temple Entrance,Outside Temple,8
throne room,Throne room,Inside Castle,8
bottlery,The Bottlery,Inside Castle,8
battleship,A battleship,Shore,8
church coat room,church coat room,Inside Church,8
fishing store,Fishing Store,Port,8
southernmost tower entryway,Southernmost Tower Entryway,Inside Tower,8
rectory,The rectory,Inside Church,8
hidden revolutionaries' headquarters,hidden revolutionaries' headquarters,Inside Palace,8
military outpost at the heart of the swamp,A military outpost at the heart of the swamp,Swamp,7
town,Town,Town,7
port tavern,Port Tavern,Port,7
outside tower,Outside tower,Outside Tower,7
chapel,The Chapel,Inside Church,7
market center,Market Center,Tavern,7
garden courtyard,The garden courtyard,Inside Castle,7
turquoise shore,Turquoise Shore,Shore,7
within the walls of the city,Within the walls of the city,Inside Tower,7
castle armory,Castle Armory,Inside Castle,7
fountain,the fountain,Graveyard,7
staircase,staircase,Inside Tower,7
forbidden forest,Forbidden Forest,Forest,7
front of the cottage,Front of the Cottage,Outside Cottage,7
tower spire,tower spire,Inside Tower,7
watchtower,Watchtower,Outside Tower,7
beside church pews,Beside church pews,Inside Church,6
next to an altar,Next to an Altar,Inside Church,6
northern shore,Northern Shore,Lake,6
town center,Town center,Town,6
countryside,Countryside,Countryside,6
bell tower,Bell Tower,Inside Church,6
top floor of palace,Top floor of palace,Inside Palace,6
keep,Keep,Inside Tower,6
fairy forest,Fairy Forest,Forest,6
woodlands,woodlands,Forest,6
clean water lake,clean water lake,Lake,6
bathroom,Bathroom,Inside Tower,6
study room,Study room,Inside Church,6
tent,Tent,Desert,6
cactus field,Cactus Field,Desert,6
knight's hunting ground,Knight's hunting ground,Trail,6
festival room,Festival Room,frozen tundra,6
castle basement,Castle basement,Inside Castle,6
temple chamber,temple chamber,Inside Temple,6
lagoon,The Lagoon,Lake,6
clearing,the clearing,Forest,6
abandoned workers shed,Abandoned workers shed,Graveyard,6
main house,Main house,Farm,6
troll's bridge,Troll's bridge,Swamp,6
black smiths shop,Black Smiths shop,Town,6
supply store,Supply store,Port,6
dwarven city,A Dwarven City,Mountain,5
main entrance,Main entrance,Outside Temple,5
front altar,the front altar,Inside Temple,5
brimswood pub,Brimswood pub,Tavern,5
hilltop temple grounds,Hilltop temple grounds,Outside Temple,5
dunes,Dunes,Desert,5
ferry terminal,Ferry Terminal,Port,5
beside the town church,beside the town church,Outside Church,5
mansion entrance,mansion entrance,Inside Cottage,5
cursed grave,A cursed grave,Graveyard,5
devils castle,The devils castle,netherworld,5
prisoner's cell,Prisoner's cell,Dungeon,5
inside church,Inside Church,Inside Church,5
viewing room,Viewing room,netherworld,5
scenic overlook,scenic overlook,Trail,5
choir room,The Choir room,Inside Church,5
dining hall,Dining Hall,Inside Tower,5
barracks,The Barracks,Outside Castle,5
reagent room,Reagent Room,Outside Tower,5
small church,A small church,Inside Church,5
chapel of the eight,Chapel of the eight,Inside Castle,5
wooded magical village,A wooded magical village,Forest,5
barn,Barn,Farm,5
castle front,Castle front,Inside Palace,5
inside the fairies church,Inside the fairies church,Inside Church,5
bazaar gambling,Bazaar Gambling,Bazaar,5
abandoned castle on an ocean cliff side,An abandoned castle on an ocean cliff side,Abandoned,5
bazaar outside the royal city,bazaar outside the royal city,Bazaar,5
mars desert,Mars desert,Desert,5
pond,Pond,Forest,5
outlaws' jungle,outlaws' jungle,Jungle,4
palace kitchen,Palace Kitchen,Inside Palace,4
royal shipyard,Royal Shipyard,Port,4
dead tree,Dead Tree,Graveyard,4
landing in the foyer,Landing in the Foyer,Inside Palace,4
hidden passageway,Hidden passageway,Inside Temple,4
battlements,Battlements,Outside Castle,4
secret magician's workshop,Secret magician's workshop,magical realm,4
eating area of cave,Eating area of cave,frozen tundra,4
saokra's blacksmith shop,Saokra's Blacksmith Shop,Town,4
rectory,Rectory,Inside Church,4
guard shack,Guard Shack,Outside Tower,4
behind the servant quarters,Behind the Servant Quarters,Wasteland,4
bathing room,bathing room,Inside Temple,4
main street,Main street,Graveyard,4
hall of the goddess,The Hall of the Goddess,Inside Temple,4
arch hall,Arch Hall,Inside Castle,4
outpost,Outpost,Mountain,4
brim canal,Brim canal,Lake,4
gate to street,gate to street,Outside Church,4
farmer's house,Farmer's house,Farm,4
stable hand's quarters,stable hand's quarters,Outside Castle,4
entrance to the pine trees,Entrance to the Pine trees,Forest,4
horse tent,Horse Tent,Farm,4
castle kitchens,Castle Kitchens,Inside Palace,4
pet chamber,Pet chamber,Inside Castle,4
cabin,A cabin,Countryside,4
inside temple,Inside Temple,Inside Temple,4
abandoned mine entrance,Abandoned mine entrance,Abandoned,4
pit of despair,The Pit of Despair,netherworld,4
pirate ship,Pirate Ship,Port,4
confessional room,Confessional Room,Inside Church,3
mud pit,Mud pit,Jungle,3
lava lake,Lava Lake,netherworld,3
echo hall,Echo Hall,magical realm,3
mountain peak,Mountain Peak,Mountain,3
waterfall,waterfall,Mountain,3
thrones of death,The Thrones of Death,netherworld,3
entry to icy fortress,Entry to Icy Fortress,frozen tundra,3
old crypt,Old Crypt,Graveyard,3
outside church,Outside Church,Outside Church,3
orc cave,Orc cave,Cave,3
firewood forest,Firewood Forest,Forest,3
knights quarters,Knights Quarters,Inside Castle,3
town square,The town square,Town,3
maidens cottage,Maidens Cottage,Countryside,3
entryway to the wizards tower,entryway to the wizards tower,Inside Tower,3
forest,The forest,Countryside,3
disposal area,Disposal area,Inside Castle,3
marketplace,Marketplace,Port,3
town center,town center,Town,3
lighthouse,Lighthouse,Shore,3
chicken coop,Chicken coop,Farm,3
tree house,Tree house,Jungle,3
church field,Church field,Outside Church,3
dwarven blacksmith,Dwarven blacksmith,Mountain,3
sermon hall,The Sermon Hall,Inside Church,3
beside temple entrance,Beside temple entrance,Outside Temple,3
castle courtyard bazaar,Castle courtyard bazaar,Bazaar,3
pig pen,Pig Pen,Countryside,3
entrance to church,Entrance to church,Outside Church,3
sacrifice chamber,Sacrifice Chamber,Inside Temple,3
acid yard,the acid yard,Outside Castle,3
alchemists lab,Alchemists Lab,Inside Tower,3
bright path,Bright Path,Inside Castle,3
boathouse,Boathouse,Swamp,3
town courtroom,Town Courtroom,Town,3
bog,Bog,Swamp,3
inside the ruined house,inside the ruined house,Inside Cottage,3
winding staircase,Winding Staircase,Outside Tower,3
room hidden in the dense canopy,a room hidden in the dense canopy,Forest,3
primary cave,Primary Cave,Cave,3
town theater,Town Theater,Town,3
castle royal tower,Castle Royal tower,Inside Castle,3
outside castle,Outside Castle,Outside Castle,3
shrine of sretniy,Shrine of Sretniy,Inside Temple,3
small clearing,a small clearing,Mountain,2
large cliffs,Large cliffs,Shore,2
ruin of a house,Ruin of a house,Wasteland,2
nave,Nave,Inside Church,2
cottage safe-room,Cottage safe-room,Inside Cottage,2
cactus field entrance,cactus field entrance,Desert,2
witches cottage,The witches cottage,Outside Cottage,2
underwater marketplace,Underwater Marketplace,underwater aquapolis,2
dungeon,Dungeon,netherworld,2
harp store,harp store,city in the clouds,2
whipping chamber,whipping chamber,netherworld,2
lower dungeon,Lower dungeon,netherworld,2
withered gardens,Withered Gardens,netherworld,2
cave exit,cave exit,Cave,2
lonely island,a lonely island,Abandoned,2
abandoned mine,abandoned mine,Abandoned,2
city of elders,city of elders,Town,2
simple town,Simple Town,Town,2
farmers market,The Farmers market,Bazaar,2
old queen farm,Old Queen Farm,Wasteland,2
tree house,Tree House,Jungle,2
farmhouse,farmhouse,underwater aquapolis,2
ice cave,Ice Cave,frozen tundra,2
attic,Attic,Inside Church,2
tool shed,tool shed,underwater aquapolis,2
observatory,Observatory,city in the clouds,2
swamp,swamp,magical realm,2
clergyman's office,Clergyman's office,Inside Temple,2
guard barracks,Guard Barracks,Inside Castle,2
inside a desolate cave,Inside a desolate cave,Dungeon,2
ant hill,Ant hill,Forest,2
moat,Moat,Outside Palace,2
along the banks of a river in the forest,Along the banks of a river in the forest,Forest,2
outside of the temple offices,outside of the temple offices,Outside Temple,2
witch's house,Witch's House,Swamp,2
towering mesa,Towering Mesa,Desert,2
path in forest,path in forest,Trail,2
archery zone,Archery zone,Outside Castle,2
stilt home,Stilt Home,Farm,2
temple courtyard,Temple courtyard,Outside Temple,2
horse's stables,Horse's stables,Outside Cottage,2
castle kitchen,Castle Kitchen,Inside Palace,2
temple main room,Temple main room,Outside Temple,2
visitor's entrance,Visitor's Entrance,Inside Temple,2
secret oasis,Secret Oasis,Desert,2
tower dungeon,Tower Dungeon,Inside Tower,2
gold mine,Gold Mine,Abandoned,2
abandoned mine,Abandoned Mine,Mountain,2
cottage,Cottage,Countryside,2
nearby road,nearby road,Countryside,2
spring bath,the spring bath,Outside Temple,2
main prayer room,main prayer room,Inside Temple,2
riverbed,Riverbed,Forest,2
main hallway,Main hallway,Inside Palace,2
school,School,Bazaar,2
holy alter,holy alter,Inside Church,2
collapsed west wing,Collapsed West Wing,Abandoned,2
personal rooms,Personal rooms,Inside Palace,2
opening to the drawbridge of the castle,The opening to the drawbridge of the castle,Trail,1
nursery,Nursery,Inside Palace,1
church foyer,Church foyer,Inside Church,1
reaper's lair,Reaper's lair,netherworld,1
lakeside house,Lakeside House,Lake,1
inside of a igloo,inside of a igloo,frozen tundra,1
research laboratory,Research Laboratory,frozen tundra,1
abyss,The Abyss,frozen tundra,1
picnic area,picnic area,Forest,1
enchanted light house,Enchanted light house,Shore,1
church altar,Church Altar,Inside Church,1
meditation room,Meditation room,Inside Temple,1
underwater aquapolis,Underwater Aquapolis,underwater aquapolis,1
land beyond the wasteland,Land beyond the Wasteland,Abandoned,1
cloud nine bar,Cloud Nine Bar,city in the clouds,1
mess hall of the servants,mess hall of the servants,city in the clouds,1
stonehenge,Stonehenge,supernatural,1
cavern,cavern,netherworld,1
entrance to a cave,Entrance to a Cave,frozen tundra,1
small town located in the hills,Small town located in the hills,Town,1
chamber entrance,chamber entrance,Inside Church,1
oracle cave,The Oracle Cave,Mountain,1
valley of doom,Valley of doom,Countryside,1
kitchen,Kitchen,Inside Cottage,1
palace garden,Palace Garden,Outside Palace,1
main gate,main gate,Countryside,1
main chapel,the main chapel,Inside Church,1
gallery,Gallery,Cave,1
mesa peak,mesa peak,Mountain,1
sacristy,sacristy,Inside Church,1
reception area,Reception area,Graveyard,1
mushroom hut,Mushroom Hut,Outside Cottage,1
inside church back row,Inside Church Back Row,Inside Church,1
forest entrance,Forest entrance,Forest,1
hiking path,Hiking path,Mountain,1
desert tent,desert tent,Wasteland,1
island,Island,Lake,1
stained glass room,stained glass room,Inside Church,1
small graveyard,Small graveyard,Outside Cottage,1
back room,back room,Inside Church,1
soldiers camp,soldiers camp,Swamp,1
fishmonger's stall,Fishmonger's stall,Port,1
old gnaisha's,Old Gnaisha's,Bazaar,1
slave quarters,Slave quarters,Inside Tower,1
corn field,Corn field,Farm,1
werewolves tavern,The werewolves tavern,Tavern,1
wet dungeon,A wet dungeon,Dungeon,1
loading dock,Loading Dock,Port,1
oasis,oasis,Desert,1
jungle,Jungle,Jungle,1
desert cavern,Desert Cavern,Desert,1
cold storage room,Cold storage room,Outside Cottage,1
church garden,Church Garden,Outside Church,1
backyard,backyard,Outside Cottage,1
dancing stoat,The Dancing Stoat,Town,1
central bazaar,Central Bazaar,Bazaar,1
wharf,Wharf,Port,1
kitchen,Kitchen,Tavern,1
graveyard,Graveyard,Outside Church,1
bedroom,Bedroom,Inside Cottage,1
laundry lines,Laundry Lines,Outside Palace,1
south forest,South Forest,Forest,1
mysterious shop's entrance,the mysterious shop's entrance,Bazaar,1
abandoned shack,Abandoned Shack,Wasteland,1
temple hallway,temple hallway,Inside Temple,1
inside temple,The Inside Temple,Inside Temple,1
unsettling forest area,unsettling forest area,Forest,1
storage room,Storage room,Tavern,1
path to the manor,path to the manor,Countryside,1
beach house,beach house,Shore,1
fitting room,fitting room,Bazaar,1
old docks,old docks,Shore,1
brush den,The Brush Den,Forest,1
high priest chamber,High Priest Chamber,Inside Church,1
clearing,Clearing,Jungle,1
faeries den,Faeries Den,magical realm,1
cabin of an ogre,The cabin of an ogre,magical realm,1
dark cave,Dark Cave,Cave,1
hidden passage,Hidden passage,Inside Church,1
fishing shack,Fishing shack,Lake,1
town of anoria,Town of Anoria,Town,1
living room,Living room,frozen tundra,1
ghost monk quarters,ghost monk quarters,supernatural,1
