utterance_id,episode_id,turn_index,speaker_normalized_name,speaker_character_id,text,emote,action,is_target_agent_speaker,contains_target_agent_mention
utt__train_ep_001494__007,train_ep_001494,7,king,char__king,"You couldn't even dodge that, how am I to trust you in this fictional war of yours?",,hit officer,True,False
utt__train_ep_001494__008,train_ep_001494,8,officer,char__officer,"Don't push me, old man. I can make your death look like a complete accident and nobody would say a word as they trust me too much.",,steal scepter from king,False,False
utt__train_ep_001494__009,train_ep_001494,9,king,char__king,"And you just said that in front of my wife, there are witnesses here you fool, I'll have your head.",,steal scepter from officer,True,False
utt__train_ep_001494__010,train_ep_001494,10,officer,char__officer,Said what? I didn't say anything at all! *whispers to you that you have no evidence and that I can tell them that you are senile*,,steal scepter from king,False,False
utt__train_ep_001494__011,train_ep_001494,11,king,char__king,"Very well you shall have your war! In fact I'd like you to be the first man on the front, I'll get the rest of your men ready, you go out there and announce the arrival.",,hug officer,True,False
utt__train_ep_001494__012,train_ep_001494,12,officer,char__officer,"That's quite the change of emotion, but I am more than happy to take that on!",grin,,False,False
utt__train_ep_001494__013,train_ep_001494,13,king,char__king,"Very well, Well off you go then, serve our country well. I'll also ready a messenger to go ahead of you",,steal scepter from officer,True,False
utt__train_ep_001501__000,train_ep_001501,0,king,char__king,hello,,,True,False
utt__train_ep_001501__001,train_ep_001501,1,servant,char__servant,"Hello King, i would love to see my family soon",smile,,False,True
utt__train_ep_001501__002,train_ep_001501,2,king,char__king,You will..As soon as the winter is gone,,,True,False
utt__train_ep_001501__003,train_ep_001501,3,servant,char__servant,Wount that be a little far?,,,False,False
utt__train_ep_001501__004,train_ep_001501,4,king,char__king,I wont let you out in the cold.,,,True,False
utt__train_ep_001501__005,train_ep_001501,5,servant,char__servant,Thats very caring of you. i would also love to take reading classes,,,False,False
utt__train_ep_001501__006,train_ep_001501,6,king,char__king,Ok. Talk to the tutor in charge. Tell him your class is free,,,True,False
utt__train_ep_001501__007,train_ep_001501,7,servant,char__servant,"Thank you so much, you such a kind soul",,,False,False
utt__train_ep_001501__008,train_ep_001501,8,king,char__king,Go tell the chef that I wont be eating tonight.,,,True,False
utt__train_ep_001501__009,train_ep_001501,9,servant,char__servant,"Why wount you be eating king, is everything okay?",,,False,True
utt__train_ep_001501__010,train_ep_001501,10,king,char__king,My heart is heavy my servant.,,,True,False
utt__train_ep_001501__011,train_ep_001501,11,servant,char__servant,"Okay, lemme let the chef know then",,,False,False
utt__train_ep_001501__012,train_ep_001501,12,king,char__king,Great.,,,True,False
utt__train_ep_001501__013,train_ep_001501,13,servant,char__servant,will see you later,,,False,False
utt__train_ep_001679__000,train_ep_001679,0,guard,char__guard,all hail the king,applaud,,False,True
utt__train_ep_001679__001,train_ep_001679,1,king,char__king,"Thank you, noble guard. Any issues today?",,,True,False
utt__train_ep_001679__002,train_ep_001679,2,guard,char__guard,"yes sir, bandit came to a house just outside the gate and tried to steel from the old woman there.",,,False,False
utt__train_ep_001679__003,train_ep_001679,3,king,char__king,How horrible! And did you deal with this situation?,,,True,False
utt__train_ep_001679__004,train_ep_001679,4,guard,char__guard,"Yes your majesty, the men are in the dungeon now  ",,,False,False
utt__train_ep_001679__005,train_ep_001679,5,king,char__king,"Good work, sir! Anything else to report?",,,True,False
utt__train_ep_001679__006,train_ep_001679,6,guard,char__guard,No sir but i swear to protect your castle,,give sword to king,False,False
utt__train_ep_001679__007,train_ep_001679,7,king,char__king,"No no, you need this more than I. You've done great work today!",,give sword to guard,True,False
utt__train_ep_001679__008,train_ep_001679,8,guard,char__guard,yes my king as you wish,,wear sword,False,True
utt__train_ep_001679__009,train_ep_001679,9,king,char__king,"That's better, now keep holding this post and don't let up!",nudge,,True,False
utt__train_ep_001679__010,train_ep_001679,10,guard,char__guard,I will sir. What that over the hill do you see it?,,wear shield,False,False
utt__train_ep_001679__011,train_ep_001679,11,king,char__king,"I'm not sure, my eyes aren't what they used to be. What do you see?",,,True,False
utt__train_ep_001679__012,train_ep_001679,12,guard,char__guard,I think it is more bandits sir! you should get inside. I will take care of this. ,,,False,False
utt__train_ep_001679__013,train_ep_001679,13,king,char__king,"As long as they don't have any ranged weapons, I should be fine, sir. Just keep lookout and make sure they don't make it any closer.",,,True,False
utt__train_ep_001693__000,train_ep_001693,0,townperson,char__townperson,Oh! It's the king! Your majesty! What brings you to this humble apothecary? ,applaud,,False,True
utt__train_ep_001693__001,train_ep_001693,1,king,char__king,I am in search of some powders I was told you might have.,,,True,False
utt__train_ep_001693__002,train_ep_001693,2,townperson,char__townperson,"Oh, my king why I have powders of all sorts, and each with it's own use. What do you need powders for? I'm sure I have what you are seaking",,,False,True
utt__train_ep_001693__003,train_ep_001693,3,king,char__king,We have a curse that has been put upon some of the people of the kingdom. ,,,True,False
utt__train_ep_001693__004,train_ep_001693,4,townperson,char__townperson,"Oh, my! A curse, you say? What are the symptoms of this curse? ",gasp,,False,False
utt__train_ep_001693__005,train_ep_001693,5,king,char__king,The people are afflicted with seizures. As if they are possessed.,,,True,False
utt__train_ep_001693__006,train_ep_001693,6,townperson,char__townperson,How curious...I think I have heard some whisperings of such a curse. Now before I concoct a cure for this I must be certain I get it right. Does this curse cause a change color of the flesh? Do the people affected speak and act in a way that they normally would not?,,,False,False
utt__train_ep_001693__007,train_ep_001693,7,king,char__king,"Yes, and even my most trusted wizards are baffled by this. A wise women recommended you.",,,True,False
utt__train_ep_001693__008,train_ep_001693,8,townperson,char__townperson,"Well, I am flattered you have come to me your majesty. And I have just the thing! I shall concoct a powder of cure and a powder of immunity. Have any of your family been affected? I do hope not.",blush,,False,False
utt__train_ep_001693__009,train_ep_001693,9,king,char__king,"Nay, it would not dare afflict me, although I am pleased with your concern. Do well on this and I just may make you the royal Apothecary.",,,True,False
utt__train_ep_001693__010,train_ep_001693,10,townperson,char__townperson,"I would be honored, your majesty! Such a prestigious title! My family will be so proud. Now, I will get straight to work! Would you like to see the process of how I create this cure? ",,,False,False
utt__train_ep_001693__011,train_ep_001693,11,king,char__king,I think I will actually just look at some of these devices you have on the shelves.,,,True,False
utt__train_ep_001693__012,train_ep_001693,12,townperson,char__townperson,"Well, over here I have the scales, these are very important because if you don't measure out the powders EXACTLY to the recipe, you could end up turning people into frogs! Over here are the turn tables, I use them to spin the powders to blend them together in perfect harmony. ",,,False,False
utt__train_ep_001693__013,train_ep_001693,13,king,char__king,A frog huh. I can think of a certain Jester that might be useful for.,smile,,True,False
utt__train_ep_001695__000,train_ep_001695,0,guest,char__guest,I just love visiting,,,False,False
utt__train_ep_001695__001,train_ep_001695,1,king,char__king,"Hmm state your name and your place of origin, visitor.",,,True,False
utt__train_ep_001695__002,train_ep_001695,2,guest,char__guest,"I am your long lost cousin Alfredino, I am from Kansas",,,False,False
utt__train_ep_001695__003,train_ep_001695,3,king,char__king,Kansas? Where is that? And I've never heard of you in my life.,,,True,False
utt__train_ep_001695__004,train_ep_001695,4,guest,char__guest,"you forgot our grand father banished me, I had to sail to the United States",,,False,False
utt__train_ep_001695__005,train_ep_001695,5,king,char__king,United States? I've never heard of such a nation!,frown,,True,False
utt__train_ep_001695__006,train_ep_001695,6,guest,char__guest,"ok I will teach you about the world beyond here, you would be amazed ",,,False,False
utt__train_ep_001695__007,train_ep_001695,7,king,char__king,"Well go on and tell me, sir. I truly don't have all day!",shrug,,True,False
utt__train_ep_001695__008,train_ep_001695,8,guest,char__guest,"before that I have brought you gifts, this one is a treasure if you read it people will come find you like solomon",,give prayer book to king,False,False
utt__train_ep_001695__009,train_ep_001695,9,king,char__king,"Hmm this is quite a nice little book. I appreciate it greatly, visitor.",,,True,False
utt__train_ep_001695__010,train_ep_001695,10,guest,char__guest,I have my royal pendant and tattoo to prove that I am not an ordinary visitor,,,False,False
utt__train_ep_001695__011,train_ep_001695,11,king,char__king,"Well go ahead and show me, as simply telling me that isn't satisfying to me.",,,True,False
utt__train_ep_001695__012,train_ep_001695,12,guest,char__guest,ok u see my ass?,,,False,False
utt__train_ep_001695__013,train_ep_001695,13,king,char__king,Excuse me?,frown,,True,False
utt__train_ep_001710__000,train_ep_001710,0,king,char__king,I am totally fearless,,,True,False
utt__train_ep_001710__001,train_ep_001710,1,drunks,char__drunks,Aaaand the wind blowing thruuuuu her hair-Hicc-what?,,,False,False
utt__train_ep_001710__002,train_ep_001710,2,king,char__king,have you ever visited my dungeon?,,,True,False
utt__train_ep_001710__003,train_ep_001710,3,drunks,char__drunks,Naaaah... want one?,,give beer to king,False,False
utt__train_ep_001710__004,train_ep_001710,4,king,char__king,"Guards, seize this man!",,hit drunks,True,False
utt__train_ep_001710__005,train_ep_001710,5,drunks,char__drunks,"Oh, Sir Rodney said, uh... what did he say?.... Oh-hiccup. He said something about your daughter being held pasta...Hicc.",,steal beer from king,False,False
utt__train_ep_001710__006,train_ep_001710,6,king,char__king,What? how can you talk about the princess casually do you want to die?,,,True,False
utt__train_ep_001710__007,train_ep_001710,7,drunks,char__drunks,No killing the messenger! Hicc-although I think he wants you to pay him postage.,,,False,False
utt__train_ep_001710__008,train_ep_001710,8,king,char__king,"Guards, look into what this mad man is saying immediately",,,True,False
utt__train_ep_001710__009,train_ep_001710,9,drunks,char__drunks,Sir Rodney said I could have all the beer I want if I delivered the message-hiccup. ,cry,,False,False
utt__train_ep_001710__010,train_ep_001710,10,king,char__king,"where is this so called rodney, I will strip him of that sir title",,,True,False
utt__train_ep_001710__011,train_ep_001710,11,drunks,char__drunks,"He's with the Earl of Panxbury, yer highness. They live on the other side of the glen.",,drink beer,False,False
utt__train_ep_001710__012,train_ep_001710,12,king,char__king,ok guards send 10 soldiers to go and arrest him at once,,,True,False
utt__train_ep_001710__013,train_ep_001710,13,drunks,char__drunks,"Thank you for the beer, yur highness!",,hug king,False,False
utt__train_ep_001731__000,train_ep_001731,0,king,char__king,"Come forth, animal. Do you speak? What is your name?",,,True,False
utt__train_ep_001731__001,train_ep_001731,1,animal,char__animal,"I am but an animal that lives under the bridge. I don't have a name, King",,hug king,False,True
utt__train_ep_001731__002,train_ep_001731,2,king,char__king,"Ah, but you do speak. Under a bridge? Are you a troll?",,,True,False
utt__train_ep_001731__003,train_ep_001731,3,animal,char__animal,I suppose I am a troll. I like to scare people that pass the bridge. ,,,False,False
utt__train_ep_001731__004,train_ep_001731,4,king,char__king,"Why would you do such a thing? Weary travelers are meeting here for a campfire. Do you hurt them, or just scare them?",,,True,False
utt__train_ep_001736__000,train_ep_001736,0,servant,char__servant,I am not happy to serve in the king's house anymore,,,False,False
utt__train_ep_001736__001,train_ep_001736,1,king,char__king,"Is that disrespect to me that I hear, servant? What say you in your defense?",,,True,False
utt__train_ep_001736__002,train_ep_001736,2,servant,char__servant,i have served you since i was a child and i cannot read and write and I have not seen my parents and i dont have a wife ,,,False,False
utt__train_ep_001736__003,train_ep_001736,3,king,char__king,I am not stopping you from having a life outside the castle!,,,True,False
utt__train_ep_001736__004,train_ep_001736,4,servant,char__servant,Do you mean I wasted my years?,,,False,False
utt__train_ep_001736__005,train_ep_001736,5,king,char__king,"Do not look at it that way, just think that you still have so much time at your disposal!",,,True,False
utt__train_ep_001736__006,train_ep_001736,6,servant,char__servant,Im 35 years old now sire,,,False,False
utt__train_ep_001736__007,train_ep_001736,7,king,char__king,"You do have quite a few years to your name, but you still have time. ",frown,,True,False
utt__train_ep_001736__008,train_ep_001736,8,servant,char__servant,"ok I believe you, maybe I will ask the cook out since she laughs with me alot, do i have your permission sir?",,,False,False
utt__train_ep_001736__009,train_ep_001736,9,king,char__king,"It should be no issue, servant. Do as you may.",,,True,False
utt__train_ep_001736__010,train_ep_001736,10,servant,char__servant,Thank you I wish I talked to you earlier ,,hug king,False,False
utt__train_ep_001736__011,train_ep_001736,11,king,char__king,"I may seem cold and fearless, which I am, but to my servants and subjects I owe them the world.",,,True,False
utt__train_ep_001736__012,train_ep_001736,12,servant,char__servant,May you live long sire,,,False,False
utt__train_ep_001736__013,train_ep_001736,13,king,char__king,"And you as well, sir.",,,True,False
utt__train_ep_001739__000,train_ep_001739,0,king,char__king,"Hello, citizens.",grin,,True,False
utt__train_ep_001739__001,train_ep_001739,1,people,char__people,Hello King! Why are you here in such a crowded town center? ,,,False,True
utt__train_ep_001739__002,train_ep_001739,2,king,char__king,Just here to keep morale up and to maybe buy some goods at the market.,,,True,False
utt__train_ep_001739__003,train_ep_001739,3,people,char__people,"I'll be honest with you, I'm not going to miss these crowds when I move out to the countryside next week.",,remove hats,False,False
utt__train_ep_001739__004,train_ep_001739,4,king,char__king,"It is nice to see the faces of the people that serve me, but I can see what you mean. ",laugh,,True,False
utt__train_ep_001739__005,train_ep_001739,5,people,char__people,"Well, you have a giant castle to retreat to, my flat is above a tavern. Noise, noise, noise all night long.",frown,,False,False
utt__train_ep_001739__006,train_ep_001739,6,king,char__king,"The tavern of all places is going to be the most loud in the kingdom! It is a favorite to these people, I wonder why. ",laugh,,True,False
utt__train_ep_001739__007,train_ep_001739,7,people,char__people,Probably because you like to keep them drunk so they are never sober enough to question your authority...or something like that.,,,False,False
utt__train_ep_001739__008,train_ep_001739,8,king,char__king,Hmm said like a bitter citizen under my rule. Have anything to say to me?,frown,,True,False
utt__train_ep_001739__009,train_ep_001739,9,people,char__people,I'm sorry king. Would you like to take my hat as compensation for my rudeness.,,give hats to king,False,True
utt__train_ep_001739__010,train_ep_001739,10,king,char__king,"Don't be so condescending or passive aggressive, I don't want any of your belongings, just the respect that I deserve,",,,True,False
utt__train_ep_001739__011,train_ep_001739,11,people,char__people,"Fine, take my boots too then, I'm powerless against your oppression.",,remove hiking boots,False,False
utt__train_ep_001739__012,train_ep_001739,12,king,char__king,"Talk down to me one more time citizen, I am warning you for the last time.",growl,,True,False
utt__train_ep_001739__013,train_ep_001739,13,people,char__people,And now you require my shirt too?! Does your greed know any bounds?,,remove shirt,False,False
utt__train_ep_001755__000,train_ep_001755,0,king,char__king,what brings you here merchant?,,,True,False
utt__train_ep_001755__001,train_ep_001755,1,merchant,char__merchant,"I am not sure, I was called here by one of your knights?",,,False,False
utt__train_ep_001755__002,train_ep_001755,2,king,char__king,"hmm it seems you are being looked at for treason, is it true youve been selling illegal merchandise?",,,True,False
utt__train_ep_001755__003,train_ep_001755,3,merchant,char__merchant,"Absolutely not, everything that I sell is completely legitimate!",,,False,False
utt__train_ep_001755__004,train_ep_001755,4,king,char__king,then why did they find this collection of body parts for sale in a hidden compartment?,,,True,False
utt__train_ep_001755__005,train_ep_001755,5,merchant,char__merchant,Body parts? Show me!,,,False,False
utt__train_ep_001755__006,train_ep_001755,6,king,char__king,"Please bring them out guards... look see, what grotesque devil shop are you running?",,,True,False
utt__train_ep_001755__007,train_ep_001755,7,merchant,char__merchant,Any evidence that these were retrieved from my home or supplies? You are just trying to dirty my good name!,,,False,False
utt__train_ep_001755__008,train_ep_001755,8,king,char__king,why would i do such a thing?,,,True,False
utt__train_ep_001755__009,train_ep_001755,9,merchant,char__merchant,"It's obvious that these other merchants nearby are selling under your name and for your own profit, which is why you want independent merchants like me out of the picture as we are just competition!",,,False,False
utt__train_ep_001755__010,train_ep_001755,10,king,char__king,"one of those merchants is my son, you dare call him a cheat?",,,True,False
utt__train_ep_001755__011,train_ep_001755,11,merchant,char__merchant,"Not a cheat, but working under you for your own profit as well as theirs. ",,,False,False
utt__train_ep_001755__012,train_ep_001755,12,king,char__king,"he does not work for me, he simply works for the town",,,True,False
utt__train_ep_001755__013,train_ep_001755,13,merchant,char__merchant,"Nonsense, all of these new merchants are working for you and you just need me gone with this smear campaign against me.",,,False,False
utt__train_ep_001779__000,train_ep_001779,0,subject,char__subject,"Your Highness, I do thank you for inviting me to the baths.",,,False,False
utt__train_ep_001779__001,train_ep_001779,1,king,char__king,"What brings you here, loyal subject",,,True,False
utt__train_ep_001779__002,train_ep_001779,2,subject,char__subject,"I was summoned here with a royal invitation, Your Majesty.",gasp,,False,False
utt__train_ep_001779__003,train_ep_001779,3,king,char__king,"Ah yes, we are here to discuss taxes and your lack of contribution to my treasury.",,,True,False
utt__train_ep_001779__004,train_ep_001779,4,subject,char__subject,"Your Highness, I assure you the only lack of contribution is from having nothing else to give.",,,False,False
utt__train_ep_001779__005,train_ep_001779,5,king,char__king,What is on your scroll?,,,True,False
utt__train_ep_001779__006,train_ep_001779,6,subject,char__subject,"Ah, yes. Here you are Your Highness.",,"give scrolls, to king",False,False
utt__train_ep_001779__007,train_ep_001779,7,king,char__king,I see that the yields from the crops this year were less than I demand,growl,,True,False
utt__train_ep_001779__008,train_ep_001779,8,subject,char__subject,How am I to control the weather My King? Surely you too have felt the drought?,,,False,True
utt__train_ep_001779__009,train_ep_001779,9,king,char__king,"Fine, fine.  I shall send some guards to the fields to make sure the peasants are not stealing.",sigh,,True,False
utt__train_ep_001779__010,train_ep_001779,10,subject,char__subject,"Were the growing conditions more suitable, you would not see such a decline. Do you truly suspect the peasant workers, Your Highness?",,,False,False
utt__train_ep_001779__011,train_ep_001779,11,king,char__king,"Take these, go back to your hovel, and increase the yields",,"give scrolls, to subject",True,False
utt__train_ep_001779__012,train_ep_001779,12,subject,char__subject,"I, ah, of course Your Highness! ",nod,,False,False
utt__train_ep_001779__013,train_ep_001779,13,king,char__king,Please send the wench in here to dry me off,,wear crown,True,False
utt__train_ep_001781__000,train_ep_001781,0,king,char__king,"And you, sir - what is your crime?",,,True,False
utt__train_ep_001781__001,train_ep_001781,1,person,char__person,"Well, all I did was get a bit drunk and start talking about how maybe a king wasn't the best thing to be having is all!",,,False,True
utt__train_ep_001781__002,train_ep_001781,2,king,char__king,I see.  And your reasoning for this is...?,,remove cape,True,False
utt__train_ep_001781__003,train_ep_001781,3,person,char__person,Well...I don't remember voting for no king for starters!,,,False,True
utt__train_ep_001781__004,train_ep_001781,4,king,char__king,"Because peasants don't get votes, for starters!  ",frown,,True,False
utt__train_ep_001781__005,train_ep_001781,5,person,char__person,"Well, see, that right there doesn't sound right either. You can't just say your the king, that doesn't seem right at all.",,,False,True
utt__train_ep_001781__006,train_ep_001781,6,king,char__king,I can say I'm the king because I was born to it!  What were you born to do?,,,True,True
utt__train_ep_001781__007,train_ep_001781,7,person,char__person,"Well, see, that still means someone, somewhere decided they were king and just expected everyone else to go along with it. I was born a farmer, but that don't mean I have to be a farmer. I could open myself a tavern!",ponder,,False,True
utt__train_ep_001781__008,train_ep_001781,8,king,char__king,"Then the luck is with you, then.  You see, you can be anything you wish.  My only destiny is to be king - I know not how to be anything else.",,,True,True
utt__train_ep_001781__009,train_ep_001781,9,person,char__person,"Well, that's easy enough! You just think about something you like to do and then get people to pay you to do it! I think they call that an economy!",,,False,False
utt__train_ep_001804__000,train_ep_001804,0,blacksmith,char__blacksmith,Something I can help you with?,,,False,False
utt__train_ep_001804__001,train_ep_001804,1,king,char__king,"""Yes, of course. You see, my crown needs repair. Do you think you can handle that?""",,give crown to blacksmith,True,False
utt__train_ep_001804__002,train_ep_001804,2,blacksmith,char__blacksmith,This is a delicate piece. Wouldn't you rather take it to the Tinker?,nod,,False,False
utt__train_ep_001804__003,train_ep_001804,3,king,char__king,"""He's too busy, and I hear you're one of the best smiths in the land.""",,,True,False
utt__train_ep_001804__004,train_ep_001804,4,blacksmith,char__blacksmith,"Anything, for you, my king.",nod,,False,True
utt__train_ep_001804__005,train_ep_001804,5,king,char__king,"""Indeed. I'll pay you handsomely. Name your price, and you'll receive it.""",,,True,False
utt__train_ep_001804__006,train_ep_001804,6,blacksmith,char__blacksmith,Anything?,,wear crown,False,False
utt__train_ep_001804__007,train_ep_001804,7,king,char__king,"""I see where you're going. Be careful what you ask for, you might just get it.""",smile,,True,False
utt__train_ep_001804__008,train_ep_001804,8,blacksmith,char__blacksmith,(roaring laughter) And why would you desire to give me your kingdom?,laugh,,False,False
utt__train_ep_001804__009,train_ep_001804,9,king,char__king,"""The weight of the crown is much heavier than it might appear.""",,,True,False
utt__train_ep_001804__010,train_ep_001804,10,blacksmith,char__blacksmith,"Argh, its' crippling! (snicker)",groan,,False,False
utt__train_ep_001804__011,train_ep_001804,11,king,char__king,"""Well, it's yours, if you truly wish it. Repair it, and leave your Smithy to me, and you can have the crown.""",laugh,,True,False
utt__train_ep_001804__012,train_ep_001804,12,blacksmith,char__blacksmith,You jest.,,give hammer to knight,False,False
utt__train_ep_001804__013,train_ep_001804,13,king,char__king,"""I assure you, I spea only the truth.""",,,True,False
utt__train_ep_001810__000,train_ep_001810,0,king,char__king,"What a wonderful view you have here, my Queen.",,,True,False
utt__train_ep_001810__001,train_ep_001810,1,queen,char__queen,"Yes, it's a great place to come and forget about all your problems.",nod,,False,False
utt__train_ep_001810__002,train_ep_001810,2,king,char__king,"Yes, this is the one place I don't have to worry about protocol. ",,remove crown,True,False
utt__train_ep_001810__003,train_ep_001810,3,queen,char__queen,All you ever do is work. You deserve it. How was your day? Did you make any deals?,,,False,False
utt__train_ep_001810__004,train_ep_001810,4,king,char__king,"Yes, some. I was admiring those carvings. I wish I had more done before I had the artist beheaded.",sigh,,True,False
utt__train_ep_001810__005,train_ep_001810,5,queen,char__queen,what?,,hit king,False,False
utt__train_ep_001810__006,train_ep_001810,6,king,char__king,You forget yourself. Why would you care about a pathetic little artist?,,hit queen,True,False
utt__train_ep_001810__007,train_ep_001810,7,queen,char__queen,"You're a jerk, I want a divorce.",growl,,False,False
utt__train_ep_001810__008,train_ep_001810,8,king,char__king,A divorce. It will not be granted by the church. But being a widower shall suit me.,,,True,False
utt__train_ep_001810__009,train_ep_001810,9,queen,char__queen,whatever,,,False,False
utt__train_ep_001810__010,train_ep_001810,10,king,char__king,You shall go to the dungeon.,,,True,False
utt__train_ep_001810__011,train_ep_001810,11,queen,char__queen,I'm going to my parents. Call me when you grow up. ,,,False,False
utt__train_ep_001810__012,train_ep_001810,12,king,char__king,Guards!!!!,,,True,False
utt__train_ep_001810__013,train_ep_001810,13,queen,char__queen,bye,wave,,False,False
utt__train_ep_001812__000,train_ep_001812,0,maid,char__maid,Ah! Your majesty I didn't realize you were here. My apologies for not greeting you properly.,,drop Broom,False,False
