character_id,utterance_id,episode_id,turn_index
char__knight,utt__train_ep_000009__003,train_ep_000009,3
char__mice,utt__train_ep_000009__004,train_ep_000009,4
char__knight,utt__train_ep_000009__005,train_ep_000009,5
char__mice,utt__train_ep_000009__006,train_ep_000009,6
char__wizard_overseer,utt__train_ep_000010__000,train_ep_000010,0
char__mystical_lion,utt__train_ep_000010__001,train_ep_000010,1
char__wizard_overseer,utt__train_ep_000010__002,train_ep_000010,2
char__mystical_lion,utt__train_ep_000010__003,train_ep_000010,3
char__wizard_overseer,utt__train_ep_000010__004,train_ep_000010,4
char__mystical_lion,utt__train_ep_000010__005,train_ep_000010,5
char__wizard_overseer,utt__train_ep_000010__006,train_ep_000010,6
char__mystical_lion,utt__train_ep_000010__007,train_ep_000010,7
char__wizard_overseer,utt__train_ep_000010__008,train_ep_000010,8
char__mystical_lion,utt__train_ep_000010__009,train_ep_000010,9
char__wizard_overseer,utt__train_ep_000010__010,train_ep_000010,10
char__mystical_lion,utt__train_ep_000010__011,train_ep_000010,11
char__wizard_overseer,utt__train_ep_000010__012,train_ep_000010,12
char__mystical_lion,utt__train_ep_000010__013,train_ep_000010,13
char__priest,utt__train_ep_000011__000,train_ep_000011,0
char__reindeer,utt__train_ep_000011__001,train_ep_000011,1
char__priest,utt__train_ep_000011__002,train_ep_000011,2
char__reindeer,utt__train_ep_000011__003,train_ep_000011,3
char__witch,utt__train_ep_000012__000,train_ep_000012,0
char__werewolf,utt__train_ep_000012__001,train_ep_000012,1
char__witch,utt__train_ep_000012__002,train_ep_000012,2
char__werewolf,utt__train_ep_000012__003,train_ep_000012,3
char__witch,utt__train_ep_000012__004,train_ep_000012,4
char__werewolf,utt__train_ep_000012__005,train_ep_000012,5
char__witch,utt__train_ep_000012__006,train_ep_000012,6
char__werewolf,utt__train_ep_000012__007,train_ep_000012,7
char__witch,utt__train_ep_000012__008,train_ep_000012,8
char__werewolf,utt__train_ep_000012__009,train_ep_000012,9
char__witch,utt__train_ep_000012__010,train_ep_000012,10
char__giant_frog,utt__train_ep_000013__000,train_ep_000013,0
char__fly,utt__train_ep_000013__001,train_ep_000013,1
char__giant_frog,utt__train_ep_000013__002,train_ep_000013,2
char__fly,utt__train_ep_000013__003,train_ep_000013,3
char__giant_frog,utt__train_ep_000013__004,train_ep_000013,4
char__fly,utt__train_ep_000013__005,train_ep_000013,5
char__giant_frog,utt__train_ep_000013__006,train_ep_000013,6
char__fly,utt__train_ep_000013__007,train_ep_000013,7
char__giant_frog,utt__train_ep_000013__008,train_ep_000013,8
char__fly,utt__train_ep_000013__009,train_ep_000013,9
char__giant_frog,utt__train_ep_000013__010,train_ep_000013,10
char__fly,utt__train_ep_000013__011,train_ep_000013,11
char__giant_frog,utt__train_ep_000013__012,train_ep_000013,12
char__fly,utt__train_ep_000013__013,train_ep_000013,13
char__descendant_of_the_sons,utt__train_ep_000014__000,train_ep_000014,0
char__ghost,utt__train_ep_000014__001,train_ep_000014,1
char__descendant_of_the_sons,utt__train_ep_000014__002,train_ep_000014,2
char__ghost,utt__train_ep_000014__003,train_ep_000014,3
char__descendant_of_the_sons,utt__train_ep_000014__004,train_ep_000014,4
char__ghost,utt__train_ep_000014__005,train_ep_000014,5
char__descendant_of_the_sons,utt__train_ep_000014__006,train_ep_000014,6
char__ghost,utt__train_ep_000014__007,train_ep_000014,7
char__descendant_of_the_sons,utt__train_ep_000014__008,train_ep_000014,8
char__ghost,utt__train_ep_000014__009,train_ep_000014,9
char__descendant_of_the_sons,utt__train_ep_000014__010,train_ep_000014,10
char__ghost,utt__train_ep_000014__011,train_ep_000014,11
char__descendant_of_the_sons,utt__train_ep_000014__012,train_ep_000014,12
char__ghost,utt__train_ep_000014__013,train_ep_000014,13
char__knight,utt__train_ep_000015__000,train_ep_000015,0
char__lady_of_the_court,utt__train_ep_000015__001,train_ep_000015,1
char__knight,utt__train_ep_000015__002,train_ep_000015,2
char__lady_of_the_court,utt__train_ep_000015__003,train_ep_000015,3
char__knight,utt__train_ep_000015__004,train_ep_000015,4
char__lady_of_the_court,utt__train_ep_000015__005,train_ep_000015,5
char__knight,utt__train_ep_000015__006,train_ep_000015,6
char__lady_of_the_court,utt__train_ep_000015__007,train_ep_000015,7
char__knight,utt__train_ep_000015__008,train_ep_000015,8
char__lady_of_the_court,utt__train_ep_000015__009,train_ep_000015,9
char__knight,utt__train_ep_000015__010,train_ep_000015,10
char__lady_of_the_court,utt__train_ep_000015__011,train_ep_000015,11
char__knight,utt__train_ep_000015__012,train_ep_000015,12
char__lady_of_the_court,utt__train_ep_000015__013,train_ep_000015,13
char__bandit,utt__train_ep_000016__000,train_ep_000016,0
char__thief,utt__train_ep_000016__001,train_ep_000016,1
char__knight,utt__train_ep_000017__000,train_ep_000017,0
char__visitor,utt__train_ep_000017__001,train_ep_000017,1
char__knight,utt__train_ep_000017__002,train_ep_000017,2
char__visitor,utt__train_ep_000017__003,train_ep_000017,3
char__knight,utt__train_ep_000017__004,train_ep_000017,4
char__visitor,utt__train_ep_000017__005,train_ep_000017,5
char__knight,utt__train_ep_000017__006,train_ep_000017,6
char__visitor,utt__train_ep_000017__007,train_ep_000017,7
char__knight,utt__train_ep_000017__008,train_ep_000017,8
char__visitor,utt__train_ep_000017__009,train_ep_000017,9
char__knight,utt__train_ep_000017__010,train_ep_000017,10
char__visitor,utt__train_ep_000017__011,train_ep_000017,11
char__knight,utt__train_ep_000017__012,train_ep_000017,12
char__visitor,utt__train_ep_000017__013,train_ep_000017,13
char__queen,utt__train_ep_000018__000,train_ep_000018,0
char__horse,utt__train_ep_000018__001,train_ep_000018,1
char__queen,utt__train_ep_000018__002,train_ep_000018,2
char__horse,utt__train_ep_000018__003,train_ep_000018,3
char__queen,utt__train_ep_000018__004,train_ep_000018,4
char__horse,utt__train_ep_000018__005,train_ep_000018,5
char__queen,utt__train_ep_000018__006,train_ep_000018,6
char__horse,utt__train_ep_000018__007,train_ep_000018,7
char__queen,utt__train_ep_000018__008,train_ep_000018,8
char__horse,utt__train_ep_000018__009,train_ep_000018,9
char__queen,utt__train_ep_000018__010,train_ep_000018,10
char__horse,utt__train_ep_000018__011,train_ep_000018,11
char__queen,utt__train_ep_000018__012,train_ep_000018,12
char__horse,utt__train_ep_000018__013,train_ep_000018,13
char__bazaar_owner,utt__train_ep_000019__000,train_ep_000019,0
char__assistant,utt__train_ep_000019__001,train_ep_000019,1
char__bazaar_owner,utt__train_ep_000019__002,train_ep_000019,2
char__assistant,utt__train_ep_000019__003,train_ep_000019,3
char__bazaar_owner,utt__train_ep_000019__004,train_ep_000019,4
char__assistant,utt__train_ep_000019__005,train_ep_000019,5
char__bazaar_owner,utt__train_ep_000019__006,train_ep_000019,6
char__assistant,utt__train_ep_000019__007,train_ep_000019,7
char__pet_dog,utt__train_ep_000020__000,train_ep_000020,0
char__knight,utt__train_ep_000020__001,train_ep_000020,1
char__pet_dog,utt__train_ep_000020__002,train_ep_000020,2
char__knight,utt__train_ep_000020__003,train_ep_000020,3
char__pet_dog,utt__train_ep_000020__004,train_ep_000020,4
char__knight,utt__train_ep_000020__005,train_ep_000020,5
char__pet_dog,utt__train_ep_000020__006,train_ep_000020,6
char__knight,utt__train_ep_000020__007,train_ep_000020,7
char__pet_dog,utt__train_ep_000020__008,train_ep_000020,8
char__knight,utt__train_ep_000020__009,train_ep_000020,9
char__pet_dog,utt__train_ep_000020__010,train_ep_000020,10
char__knight,utt__train_ep_000020__011,train_ep_000020,11
char__pet_dog,utt__train_ep_000020__012,train_ep_000020,12
char__knight,utt__train_ep_000020__013,train_ep_000020,13
char__messenger,utt__train_ep_000021__000,train_ep_000021,0
char__prince,utt__train_ep_000021__001,train_ep_000021,1
char__messenger,utt__train_ep_000021__002,train_ep_000021,2
char__prince,utt__train_ep_000021__003,train_ep_000021,3
char__messenger,utt__train_ep_000021__004,train_ep_000021,4
char__prince,utt__train_ep_000021__005,train_ep_000021,5
char__messenger,utt__train_ep_000021__006,train_ep_000021,6
char__prince,utt__train_ep_000021__007,train_ep_000021,7
char__messenger,utt__train_ep_000021__008,train_ep_000021,8
char__prince,utt__train_ep_000021__009,train_ep_000021,9
char__messenger,utt__train_ep_000021__010,train_ep_000021,10
char__prince,utt__train_ep_000021__011,train_ep_000021,11
char__messenger,utt__train_ep_000021__012,train_ep_000021,12
char__prince,utt__train_ep_000021__013,train_ep_000021,13
char__townsperson,utt__train_ep_000022__000,train_ep_000022,0
char__friend,utt__train_ep_000022__001,train_ep_000022,1
char__townsperson,utt__train_ep_000022__002,train_ep_000022,2
char__friend,utt__train_ep_000022__003,train_ep_000022,3
char__townsperson,utt__train_ep_000022__004,train_ep_000022,4
char__friend,utt__train_ep_000022__005,train_ep_000022,5
char__townsperson,utt__train_ep_000022__006,train_ep_000022,6
char__friend,utt__train_ep_000022__007,train_ep_000022,7
char__townsperson,utt__train_ep_000022__008,train_ep_000022,8
char__friend,utt__train_ep_000022__009,train_ep_000022,9
char__townsperson,utt__train_ep_000022__010,train_ep_000022,10
char__friend,utt__train_ep_000022__011,train_ep_000022,11
char__townsperson,utt__train_ep_000022__012,train_ep_000022,12
char__friend,utt__train_ep_000022__013,train_ep_000022,13
char__sailor,utt__train_ep_000023__000,train_ep_000023,0
char__drunkard,utt__train_ep_000023__001,train_ep_000023,1
char__sailor,utt__train_ep_000023__002,train_ep_000023,2
char__drunkard,utt__train_ep_000023__003,train_ep_000023,3
char__sailor,utt__train_ep_000023__004,train_ep_000023,4
char__drunkard,utt__train_ep_000023__005,train_ep_000023,5
char__sailor,utt__train_ep_000023__006,train_ep_000023,6
char__drunkard,utt__train_ep_000023__007,train_ep_000023,7
char__sailor,utt__train_ep_000023__008,train_ep_000023,8
char__drunkard,utt__train_ep_000023__009,train_ep_000023,9
char__sailor,utt__train_ep_000023__010,train_ep_000023,10
char__drunkard,utt__train_ep_000023__011,train_ep_000023,11
char__sailor,utt__train_ep_000023__012,train_ep_000023,12
char__drunkard,utt__train_ep_000023__013,train_ep_000023,13
char__person,utt__train_ep_000024__000,train_ep_000024,0
char__fairy,utt__train_ep_000024__001,train_ep_000024,1
char__person,utt__train_ep_000024__002,train_ep_000024,2
char__fairy,utt__train_ep_000024__003,train_ep_000024,3
char__person,utt__train_ep_000024__004,train_ep_000024,4
char__fairy,utt__train_ep_000024__005,train_ep_000024,5
char__person,utt__train_ep_000024__006,train_ep_000024,6
char__fairy,utt__train_ep_000024__007,train_ep_000024,7
char__person,utt__train_ep_000024__008,train_ep_000024,8
char__fairy,utt__train_ep_000024__009,train_ep_000024,9
char__person,utt__train_ep_000024__010,train_ep_000024,10
char__fairy,utt__train_ep_000024__011,train_ep_000024,11
char__person,utt__train_ep_000024__012,train_ep_000024,12
char__fairy,utt__train_ep_000024__013,train_ep_000024,13
char__petitioner,utt__train_ep_000025__000,train_ep_000025,0
char__parishioner,utt__train_ep_000025__001,train_ep_000025,1
char__petitioner,utt__train_ep_000025__002,train_ep_000025,2
char__parishioner,utt__train_ep_000025__003,train_ep_000025,3
char__petitioner,utt__train_ep_000025__004,train_ep_000025,4
char__pirate,utt__train_ep_000026__000,train_ep_000026,0
char__ghost,utt__train_ep_000026__001,train_ep_000026,1
char__pirate,utt__train_ep_000026__002,train_ep_000026,2
char__ghost,utt__train_ep_000026__003,train_ep_000026,3
char__pirate,utt__train_ep_000026__004,train_ep_000026,4
char__ghost,utt__train_ep_000026__005,train_ep_000026,5
char__pirate,utt__train_ep_000026__006,train_ep_000026,6
char__ghost,utt__train_ep_000026__007,train_ep_000026,7
char__pirate,utt__train_ep_000026__008,train_ep_000026,8
char__ghost,utt__train_ep_000026__009,train_ep_000026,9
char__pirate,utt__train_ep_000026__010,train_ep_000026,10
char__ghost,utt__train_ep_000026__011,train_ep_000026,11
char__pirate,utt__train_ep_000026__012,train_ep_000026,12
char__ghost,utt__train_ep_000026__013,train_ep_000026,13
char__horse,utt__train_ep_000027__000,train_ep_000027,0
char__enemy,utt__train_ep_000027__001,train_ep_000027,1
char__horse,utt__train_ep_000027__002,train_ep_000027,2
char__enemy,utt__train_ep_000027__003,train_ep_000027,3
char__horse,utt__train_ep_000027__004,train_ep_000027,4
char__enemy,utt__train_ep_000027__005,train_ep_000027,5
char__horse,utt__train_ep_000027__006,train_ep_000027,6
char__enemy,utt__train_ep_000027__007,train_ep_000027,7
char__horse,utt__train_ep_000027__008,train_ep_000027,8
char__enemy,utt__train_ep_000027__009,train_ep_000027,9
char__horse,utt__train_ep_000027__010,train_ep_000027,10
char__enemy,utt__train_ep_000027__011,train_ep_000027,11
char__horse,utt__train_ep_000027__012,train_ep_000027,12
char__enemy,utt__train_ep_000027__013,train_ep_000027,13
char__thing,utt__train_ep_000028__000,train_ep_000028,0
char__fairy,utt__train_ep_000028__001,train_ep_000028,1
char__thing,utt__train_ep_000028__002,train_ep_000028,2
char__fairy,utt__train_ep_000028__003,train_ep_000028,3
char__thing,utt__train_ep_000028__004,train_ep_000028,4
char__fairy,utt__train_ep_000028__005,train_ep_000028,5
char__thing,utt__train_ep_000028__006,train_ep_000028,6
char__fairy,utt__train_ep_000028__007,train_ep_000028,7
char__thing,utt__train_ep_000028__008,train_ep_000028,8
char__fairy,utt__train_ep_000028__009,train_ep_000028,9
char__thing,utt__train_ep_000028__010,train_ep_000028,10
char__fairy,utt__train_ep_000028__011,train_ep_000028,11
char__thing,utt__train_ep_000028__012,train_ep_000028,12
char__fairy,utt__train_ep_000028__013,train_ep_000028,13
char__dogs,utt__train_ep_000029__000,train_ep_000029,0
char__village_chief,utt__train_ep_000029__001,train_ep_000029,1
char__dogs,utt__train_ep_000029__002,train_ep_000029,2
char__village_chief,utt__train_ep_000029__003,train_ep_000029,3
char__dogs,utt__train_ep_000029__004,train_ep_000029,4
char__village_chief,utt__train_ep_000029__005,train_ep_000029,5
char__dogs,utt__train_ep_000029__006,train_ep_000029,6
char__village_chief,utt__train_ep_000029__007,train_ep_000029,7
char__dogs,utt__train_ep_000029__008,train_ep_000029,8
char__village_chief,utt__train_ep_000029__009,train_ep_000029,9
char__dogs,utt__train_ep_000029__010,train_ep_000029,10
char__village_chief,utt__train_ep_000029__011,train_ep_000029,11
char__dogs,utt__train_ep_000029__012,train_ep_000029,12
char__village_chief,utt__train_ep_000029__013,train_ep_000029,13
char__enemy,utt__train_ep_000030__000,train_ep_000030,0
char__barn_cat,utt__train_ep_000030__001,train_ep_000030,1
char__enemy,utt__train_ep_000030__002,train_ep_000030,2
char__barn_cat,utt__train_ep_000030__003,train_ep_000030,3
char__enemy,utt__train_ep_000030__004,train_ep_000030,4
char__barn_cat,utt__train_ep_000030__005,train_ep_000030,5
char__enemy,utt__train_ep_000030__006,train_ep_000030,6
char__wall_repairman,utt__train_ep_000031__000,train_ep_000031,0
char__guard,utt__train_ep_000031__001,train_ep_000031,1
char__wall_repairman,utt__train_ep_000031__002,train_ep_000031,2
char__guard,utt__train_ep_000031__003,train_ep_000031,3
char__wall_repairman,utt__train_ep_000031__004,train_ep_000031,4
char__guard,utt__train_ep_000031__005,train_ep_000031,5
char__wall_repairman,utt__train_ep_000031__006,train_ep_000031,6
char__guard,utt__train_ep_000031__007,train_ep_000031,7
char__soldier_named_zinney,utt__train_ep_000032__000,train_ep_000032,0
char__king_fulmer,utt__train_ep_000032__001,train_ep_000032,1
char__soldier_named_zinney,utt__train_ep_000032__002,train_ep_000032,2
char__king_fulmer,utt__train_ep_000032__003,train_ep_000032,3
char__soldier_named_zinney,utt__train_ep_000032__004,train_ep_000032,4
char__king_fulmer,utt__train_ep_000032__005,train_ep_000032,5
char__soldier_named_zinney,utt__train_ep_000032__006,train_ep_000032,6
char__king_fulmer,utt__train_ep_000032__007,train_ep_000032,7
char__soldier_named_zinney,utt__train_ep_000032__008,train_ep_000032,8
char__king_fulmer,utt__train_ep_000032__009,train_ep_000032,9
char__soldier_named_zinney,utt__train_ep_000032__010,train_ep_000032,10
char__king_fulmer,utt__train_ep_000032__011,train_ep_000032,11
char__soldier_named_zinney,utt__train_ep_000032__012,train_ep_000032,12
char__king_fulmer,utt__train_ep_000032__013,train_ep_000032,13
char__scullery_boy,utt__train_ep_000033__000,train_ep_000033,0
char__person,utt__train_ep_000033__001,train_ep_000033,1
char__scullery_boy,utt__train_ep_000033__002,train_ep_000033,2
char__person,utt__train_ep_000033__003,train_ep_000033,3
char__scullery_boy,utt__train_ep_000033__004,train_ep_000033,4
char__person,utt__train_ep_000033__005,train_ep_000033,5
char__scullery_boy,utt__train_ep_000033__006,train_ep_000033,6
char__person,utt__train_ep_000033__007,train_ep_000033,7
char__scullery_boy,utt__train_ep_000033__008,train_ep_000033,8
char__person,utt__train_ep_000033__009,train_ep_000033,9
char__scullery_boy,utt__train_ep_000033__010,train_ep_000033,10
char__person,utt__train_ep_000033__011,train_ep_000033,11
char__scullery_boy,utt__train_ep_000033__012,train_ep_000033,12
char__person,utt__train_ep_000033__013,train_ep_000033,13
char__roach,utt__train_ep_000034__000,train_ep_000034,0
char__lost_traveler,utt__train_ep_000034__001,train_ep_000034,1
char__roach,utt__train_ep_000034__002,train_ep_000034,2
char__lost_traveler,utt__train_ep_000034__003,train_ep_000034,3
char__roach,utt__train_ep_000034__004,train_ep_000034,4
char__lost_traveler,utt__train_ep_000034__005,train_ep_000034,5
char__roach,utt__train_ep_000034__006,train_ep_000034,6
char__lost_traveler,utt__train_ep_000034__007,train_ep_000034,7
char__roach,utt__train_ep_000034__008,train_ep_000034,8
char__lost_traveler,utt__train_ep_000034__009,train_ep_000034,9
char__roach,utt__train_ep_000034__010,train_ep_000034,10
char__lost_traveler,utt__train_ep_000034__011,train_ep_000034,11
char__roach,utt__train_ep_000034__012,train_ep_000034,12
char__lost_traveler,utt__train_ep_000034__013,train_ep_000034,13
char__foreign_ambassador,utt__train_ep_000035__000,train_ep_000035,0
char__concubine,utt__train_ep_000035__001,train_ep_000035,1
char__foreign_ambassador,utt__train_ep_000035__002,train_ep_000035,2
char__concubine,utt__train_ep_000035__003,train_ep_000035,3
char__foreign_ambassador,utt__train_ep_000035__004,train_ep_000035,4
char__concubine,utt__train_ep_000035__005,train_ep_000035,5
char__foreign_ambassador,utt__train_ep_000035__006,train_ep_000035,6
char__concubine,utt__train_ep_000035__007,train_ep_000035,7
char__foreign_ambassador,utt__train_ep_000035__008,train_ep_000035,8
char__concubine,utt__train_ep_000035__009,train_ep_000035,9
char__foreign_ambassador,utt__train_ep_000035__010,train_ep_000035,10
char__concubine,utt__train_ep_000035__011,train_ep_000035,11
char__foreign_ambassador,utt__train_ep_000035__012,train_ep_000035,12
char__concubine,utt__train_ep_000035__013,train_ep_000035,13
char__eunuch,utt__train_ep_000036__000,train_ep_000036,0
char__farmer_bob_s_wife,utt__train_ep_000036__001,train_ep_000036,1
char__eunuch,utt__train_ep_000036__002,train_ep_000036,2
char__farmer_bob_s_wife,utt__train_ep_000036__003,train_ep_000036,3
char__eunuch,utt__train_ep_000036__004,train_ep_000036,4
char__farmer_bob_s_wife,utt__train_ep_000036__005,train_ep_000036,5
char__eunuch,utt__train_ep_000036__006,train_ep_000036,6
char__farmer_bob_s_wife,utt__train_ep_000036__007,train_ep_000036,7
char__eunuch,utt__train_ep_000036__008,train_ep_000036,8
char__farmer_bob_s_wife,utt__train_ep_000036__009,train_ep_000036,9
char__eunuch,utt__train_ep_000036__010,train_ep_000036,10
char__farmer_bob_s_wife,utt__train_ep_000036__011,train_ep_000036,11
char__eunuch,utt__train_ep_000036__012,train_ep_000036,12
char__farmer_bob_s_wife,utt__train_ep_000036__013,train_ep_000036,13
char__pet,utt__train_ep_000037__000,train_ep_000037,0
char__resident,utt__train_ep_000037__001,train_ep_000037,1
char__pet,utt__train_ep_000037__002,train_ep_000037,2
char__resident,utt__train_ep_000037__003,train_ep_000037,3
char__pet,utt__train_ep_000037__004,train_ep_000037,4
char__resident,utt__train_ep_000037__005,train_ep_000037,5
char__pet,utt__train_ep_000037__006,train_ep_000037,6
char__resident,utt__train_ep_000037__007,train_ep_000037,7
char__pet,utt__train_ep_000037__008,train_ep_000037,8
char__resident,utt__train_ep_000037__009,train_ep_000037,9
char__pet,utt__train_ep_000037__010,train_ep_000037,10
char__resident,utt__train_ep_000037__011,train_ep_000037,11
char__pet,utt__train_ep_000037__012,train_ep_000037,12
char__squirrel,utt__train_ep_000038__000,train_ep_000038,0
char__person,utt__train_ep_000038__001,train_ep_000038,1
char__squirrel,utt__train_ep_000038__002,train_ep_000038,2
char__grandmother,utt__train_ep_000039__000,train_ep_000039,0
char__grandfather,utt__train_ep_000039__001,train_ep_000039,1
char__grandmother,utt__train_ep_000039__002,train_ep_000039,2
char__grandfather,utt__train_ep_000039__003,train_ep_000039,3
char__grandmother,utt__train_ep_000039__004,train_ep_000039,4
char__grandfather,utt__train_ep_000039__005,train_ep_000039,5
char__grandmother,utt__train_ep_000039__006,train_ep_000039,6
