source_character_id,target_character_id,source_character_name,target_character_name,co_episode_count,is_focus_character_pair
char__librarian,char__preist,librarian,preist,6,False
char__cowardly_guard_nervously_awaiting_an_attack,char__large_experienced_guard_with_a_grizzly_expression,cowardly guard nervously awaiting an attack,large experienced guard with a grizzly expression,1,False
char__boar,char__peasant,boar,peasant,2,False
char__person,char__preist,person,preist,15,False
char__congregant,char__mayor,congregant,mayor,1,False
char__bear,char__deer,bear,deer,1,False
char__chambermaid,char__king,chambermaid,king,6,True
char__craftsman,char__trader,craftsman,trader,9,False
char__princess,char__worms,princess,worms,7,False
char__court_jester,char__servant,court jester,servant,11,False
char__caretaker,char__tribesman,caretaker,tribesman,1,False
char__jester,char__subject,jester,subject,6,False
char__courtier,char__king,courtier,king,3,True
char__cat,char__shape_shifting_cat,cat,shape-shifting cat,1,False
char__clergy,char__priest,clergy,priest,3,False
char__mother,char__napping_mouse,mother,napping mouse,1,False
char__horse,char__village_youth,horse,village youth,1,False
char__cleaning_person,char__serving_wench,cleaning person,serving wench,8,False
char__man,char__small_child_cleaning_boat,man,small child cleaning boat,1,False
char__child,char__family_member,child,family member,7,False
char__cardinal,char__goldfinch,cardinal,goldfinch,1,False
char__captured_knight,char__rat_feasting_on_leftovers,captured knight,rat feasting on leftovers,1,False
char__king_s_guardsman,char__king_s_guardsmen,king's guardsman,king's guardsmen,4,False
char__diplomat,char__economist,diplomat,economist,1,False
char__person,char__servant,person,servant,7,False
char__mayor,char__president,mayor,president,5,False
char__beaver,char__troll,beaver,troll,1,False
char__his_wolf_companion_always_at_his_side,char__trader_s_wife_that_traveled_with_him,his wolf companion always at his side,trader's wife that traveled with him,1,False
char__caretaker,char__mourner,caretaker,mourner,7,False
char__person,char__princess,person,princess,11,False
char__queen,char__subject,queen,subject,4,False
char__person,char__priest,person,priest,15,False
char__bishop,char__priest,bishop,priest,9,False
char__large_spider_high_in_one_corner,char__old_maniacal_man,large spider high in one corner,old maniacal man,3,False
char__king_s_architect,char__parishioner,king's architect,parishioner,4,False
char__armorer,char__army,armorer,army,5,False
char__king,char__musician,king,musician,9,True
char__altar_boy,char__organ_player,altar boy,organ player,3,False
char__jacob_s_son,char__monkey_friend,jacob's son,monkey friend,1,False
char__archaeologist,char__robber,archaeologist,robber,4,False
char__no_one,char__vulture,no one,vulture,5,False
char__goat_for_company_for_the_horses,char__veterinarian,goat for company for the horses,veterinarian,3,False
char__lady_of_the_house,char__traveler,lady of the house,traveler,1,False
char__grazing_milk_cow_in_the_background,char__person,grazing milk cow in the background,person,1,False
char__hangman,char__royal,hangman,royal,2,False
char__hawk,char__squire,hawk,squire,1,False
char__animal,char__wise_men,animal,wise men,1,False
char__guest,char__royal_family_member,guest,royal family member,6,False
char__horse,char__horse_thieves,horse,horse thieves,2,False
char__old_woman,char__priest,old woman,priest,2,False
char__dancer,char__guard,dancer,guard,3,False
char__animal,char__boy,animal,boy,4,False
char__fight,char__master_of_ceremonies,fight,master of ceremonies,1,False
char__another_prisoner,char__guard,another prisoner,guard,2,False
char__pig,char__turkey,pig,turkey,2,False
char__peasant,char__person,peasant,person,11,False
char__chef,char__waiter,chef,waiter,2,False
char__king,char__queen,king,queen,111,True
char__cooks,char__maid,cooks,maid,2,False
char__dog,char__half_wild_cat_chasing_away_mice,dog,half-wild cat chasing away mice,3,False
char__guest,char__soldier,guest,soldier,4,False
char__dove,char__village_official,dove,village official,1,False
char__bandit,char__poorer_citizens_of_the_empire,bandit,poorer citizens of the empire,1,False
char__lord,char__nun,lord,nun,2,False
char__hunter,char__man_sleeping_inside,hunter,man sleeping inside,1,False
char__king,char__temple_guard,king,temple guard,4,True
char__animal,char__camper,animal,camper,3,False
char__deer,char__horse,deer,horse,5,False
char__queen,char__royal_dog,queen,royal dog,5,False
char__preacher,char__worshipper,preacher,worshipper,6,False
char__congregant,char__wolf,congregant,wolf,1,False
char__man,char__toucan,man,toucan,1,False
char__child,char__priest,child,priest,3,False
char__person,char__small_animals,person,small animals,14,False
char__patron,char__troubadours,patron,troubadours,1,False
char__fight,char__servant,fight,servant,1,False
char__deckhand,char__wench,deckhand,wench,1,False
char__bird,char__soldier,bird,soldier,2,False
char__alter_boy,char__dogs,alter boy,dogs,1,False
char__mysterious_merchant,char__vendor,mysterious merchant,vendor,1,False
char__monster,char__traveller,monster,traveller,5,False
char__deity,char__priestess,deity,priestess,7,False
char__king_s_dog,char__queen,king's dog,queen,3,False
char__tribe_chief,char__tribesman,tribe chief,tribesman,1,False
char__challenger,char__prisoner,challenger,prisoner,3,False
char__musician,char__ogre,musician,ogre,1,False
char__camera_man,char__king,camera man,king,4,True
char__chicken,char__farmer,chicken,farmer,7,False
char__gravedigger_doing_his_work,char__mourner,gravedigger doing his work,mourner,1,False
char__peasant,char__witch,peasant,witch,6,False
char__maid,char__visitor,maid,visitor,3,False
char__guard,char__king,guard,king,26,True
char__bear,char__wolf,bear,wolf,4,False
char__king,char__parishioner,king,parishioner,5,True
char__guard,char__torture_assistant,guard,torture assistant,2,False
char__castaway,char__person,castaway,person,10,False
char__governor,char__man,governor,man,6,False
char__armed_guardsmen,char__wise_men,armed guardsmen,wise men,4,False
char__person,char__round_man_with_a_bushy_mustache,person,round man with a bushy mustache,2,False
char__priest,char__young_princess,priest,young princess,1,False
char__craftsman,char__prisoner,craftsman,prisoner,1,False
char__knight,char__mage,knight,mage,1,False
char__goblin,char__princess,goblin,princess,1,False
char__peasant,char__thief,peasant,thief,15,False
char__ghost,char__noble,ghost,noble,1,False
char__cricket,char__praying_mantis,cricket,praying mantis,2,False
char__cat,char__roach,cat,roach,3,False
char__jester,char__knight,jester,knight,2,False
char__child,char__secret_lovers_seeking_privacy,child,secret lovers seeking privacy,3,False
char__rabid_rat,char__servant,rabid rat,servant,1,False
char__admiral,char__guard,admiral,guard,1,False
char__gardener_pulling_weeds,char__young_student_reading_a_book_beneath_a_dogwood_tree,gardener pulling weeds,young student reading a book beneath a dogwood tree,2,False
char__clergyman,char__parishioner,clergyman,parishioner,3,False
char__mouse,char__vagabond,mouse,vagabond,1,False
char__fish,char__person,fish,person,5,False
char__insects,char__vulture,insects,vulture,1,False
char__king_fulmer,char__soldier_named_ulmer,king fulmer,soldier named ulmer,9,False
char__castle_guards,char__scullery_boy,castle guards,scullery boy,2,False
char__barn_cat,char__worms,barn cat,worms,2,False
char__friend_of_the_princess,char__maid,friend of the princess,maid,3,False
char__chief_wife,char__concubine,chief wife,concubine,3,False
char__child,char__vendor,child,vendor,2,False
char__concubine,char__mistress,concubine,mistress,4,False
char__queen,char__traveler,queen,traveler,5,False
char__person,char__vagrant,person,vagrant,1,False
char__father,char__grandfather,father,grandfather,3,False
char__queen,char__royal_prince,queen,royal prince,3,False
char__gardener,char__queen,gardener,queen,2,False
char__captain,char__mate,captain,mate,3,False
char__elf,char__witch,elf,witch,1,False
char__albino_fish_totally_blind_swims_in_a_tiny_pool,char__person,albino fish totally blind swims in a tiny pool,person,1,False
char__farmer,char__knight,farmer,knight,1,False
char__child,char__sell_swords,child,sell swords,1,False
char__lady_in_a_white_decadent_dress,char__stable_boy_rushing_in_to_alert_the_knight,lady in a white decadent dress,stable boy rushing in to alert the knight,3,False
char__queen,char__roach,queen,roach,1,False
char__guy_with_the_key_when_he_lets_in_the_king,char__king_himself,guy with the key when he lets in the king,king himself,2,False
char__dogs,char__person,dogs,person,3,False
char__bigfoot,char__person,bigfoot,person,1,False
char__horseflies,char__lizards,horseflies,lizards,1,False
char__mice,char__town_baker,mice,town baker,3,False
char__clergyman,char__freind,clergyman,freind,2,False
char__bird,char__monkey,bird,monkey,3,False
char__king_s_guardsmen,char__person,king's guardsmen,person,1,False
char__chained_cat,char__priest,chained cat,priest,1,False
char__insects,char__sick_person,insects,sick person,1,False
char__blacksmith_apprentice,char__serving_wench,blacksmith apprentice,serving wench,2,False
char__cavalry,char__guard,cavalry,guard,1,False
char__bishop,char__nun,bishop,nun,1,False
char__person_on_a_pilgrimage,char__resting_travelers,person on a pilgrimage,resting travelers,1,False
char__fisherman,char__mariner,fisherman,mariner,2,False
char__soldier,char__villager,soldier,villager,1,False
char__old_wizened_priestess,char__spider,old wizened priestess,spider,1,False
char__ambassador,char__queen,ambassador,queen,1,False
char__child,char__local_artist,child,local artist,1,False
char__person,char__tourist,person,tourist,4,False
char__farmer,char__princess,farmer,princess,1,False
char__queen,char__servant,queen,servant,16,False
char__cat,char__villager,cat,villager,1,False
char__rat_chews_on_a_dropped_hymnbook,char__spider_spins_its_web_in_the_pew_corner,rat chews on a dropped hymnbook,spider spins its web in the pew corner,1,False
char__seagull,char__tern,seagull,tern,1,False
char__captain,char__pirate,captain,pirate,1,False
char__girl,char__rival_jeweler,girl,rival jeweler,2,False
char__ghost,char__shop_keeper,ghost,shop keeper,1,False
char__goblin,char__guard,goblin,guard,3,False
char__butler,char__maid,butler,maid,9,False
char__guest,char__servant,guest,servant,17,False
char__lector,char__nuns,lector,nuns,2,False
char__priest,char__priests,priest,priests,5,False
char__dog,char__mouse,dog,mouse,1,False
char__crow,char__jester,crow,jester,2,False
char__child,char__mother,child,mother,3,False
char__horse,char__stable_hands,horse,stable hands,8,False
char__chef,char__serving_wench,chef,serving wench,6,False
char__knight,char__old_man_with_a_fishing_rod,knight,old man with a fishing rod,1,False
char__captured_knight,char__troll,captured knight,troll,3,False
char__cooker,char__man,cooker,man,1,False
char__baby,char__stray_cat,baby,stray cat,1,False
char__pig,char__villager,pig,villager,4,False
char__invader,char__worms,invader,worms,1,False
char__king,char__party_goers,king,party goers,6,True
char__armorer,char__blacksmith,armorer,blacksmith,3,False
char__follower,char__high_priest,follower,high priest,11,False
char__archaeologist,char__bandit,archaeologist,bandit,11,False
char__lizards,char__toucan,lizards,toucan,2,False
char__king,char__veterinarian,king,veterinarian,2,True
char__guest,char__lady_of_the_house,guest,lady of the house,5,False
char__archer,char__mistress,archer,mistress,1,False
char__book_keeper,char__monk,book keeper,monk,3,False
char__high_priestess,char__worker,high priestess,worker,1,False
char__archer,char__soldier,archer,soldier,14,False
char__alligator,char__swimmer,alligator,swimmer,1,False
char__rabbit,char__wealthy_noble,rabbit,wealthy noble,6,False
char__grandmother,char__priest,grandmother,priest,2,False
char__church_mouse,char__priest,church mouse,priest,3,False
char__sailor,char__some_kind_of_police,sailor,some kind of police,3,False
char__ghost,char__residents_of_the_cottage,ghost,residents of the cottage,6,False
char__horse,char__milkmaid,horse,milkmaid,5,False
char__castle_guards,char__wealthy_bookshop_owner,castle guards,wealthy bookshop owner,1,False
char__rat,char__spider,rat,spider,11,False
char__animal,char__craftsman,animal,craftsman,1,False
char__historian,char__preacher,historian,preacher,5,False
char__gravedigger,char__loved_ones,gravedigger,loved ones,7,False
char__cat,char__royal_family_member,cat,royal family member,3,False
char__guard,char__pirate,guard,pirate,4,False
char__peasant,char__tavern_owner,peasant,tavern owner,1,False
char__graveyard_keeper_who_lives_across_the_yard,char__rat,graveyard keeper who lives across the yard,rat,1,False
char__handmaid,char__maid,handmaid,maid,2,False
char__girl,char__man,girl,man,3,False
char__servant,char__young_maiden,servant,young maiden,4,False
char__animal,char__squirrel,animal,squirrel,2,False
char__priest,char__prince,priest,prince,1,False
char__pastor,char__preacher,pastor,preacher,2,False
char__horse_caretaker_trainer,char__mice,horse caretaker trainer,mice,1,False
char__hog,char__hunting_dog,hog,hunting dog,2,False
char__architect,char__queen,architect,queen,3,False
char__groundskeeper,char__peasant,groundskeeper,peasant,3,False
char__dog,char__watchmen,dog,watchmen,2,False
char__horse,char__pig,horse,pig,1,False
char__peasant,char__resident,peasant,resident,5,False
char__bartender,char__craftsman,bartender,craftsman,3,False
char__king,char__man,king,man,12,True
char__guard,char__peasant,guard,peasant,6,False
char__customer,char__rat,customer,rat,1,False
char__military_commander,char__person,military commander,person,1,False
char__fishermen,char__flirty_barmaid,fishermen,flirty barmaid,4,False
char__assassin,char__king,assassin,king,5,True
char__bird,char__squirrel,bird,squirrel,1,False
char__bird,char__serving_wench,bird,serving wench,1,False
char__captain,char__child,captain,child,2,False
char__maid,char__queen,maid,queen,9,False
char__weary_traveler,char__worshipper,weary traveler,worshipper,4,False
char__angel,char__kings,angel,kings,7,False
char__man,char__vulture,man,vulture,12,False
char__child,char__customer,child,customer,2,False
char__brother,char__king,brother,king,11,True
char__barkeep,char__woman,barkeep,woman,1,False
char__carpenter,char__priests,carpenter,priests,2,False
char__patron,char__priest,patron,priest,6,False
char__pond_visitor,char__traveling_salesmen_stopping_for_a_drink,pond visitor,traveling salesmen stopping for a drink,2,False
char__faery,char__farmer,faery,farmer,2,False
char__clergyman,char__minister,clergyman,minister,3,False
char__lands_lord,char__orc,lands lord,orc,1,False
char__parishioner,char__preacher,parishioner,preacher,2,False
char__spider,char__worker,spider,worker,1,False
char__mourner,char__queen,mourner,queen,3,False
char__attendee,char__emperor,attendee,emperor,1,False
char__king,char__murderer,king,murderer,7,True
char__princess,char__witch,princess,witch,2,False
char__monk,char__priest,monk,priest,15,False
char__painter,char__soldiers,painter,soldiers,1,False
char__dolphin,char__mermaid,dolphin,mermaid,3,False
char__goblin,char__kid,goblin,kid,3,False
char__policeman_walking_a_beat,char__small_aggressive_looking_dog,policeman walking a beat,small aggressive-looking dog,2,False
char__crab,char__person,crab,person,11,False
char__bat,char__spirit,bat,spirit,3,False
char__gecko,char__thief,gecko,thief,2,False
char__rat,char__vigilant_guard,rat,vigilant guard,1,False
char__king,char__lawyer,king,lawyer,10,True
char__cow,char__farmer,cow,farmer,14,False
char__chilling_wind_or_voice,char__gravedigger_doing_his_work,chilling wind or voice,gravedigger doing his work,5,False
char__farmer,char__person,farmer,person,5,False
char__helpers,char__worker,helpers,worker,3,False
char__lord_chamberlain,char__master_of_ceremonies,lord chamberlain,master of ceremonies,1,False
char__policeman_walking_a_beat,char__seagull,policeman walking a beat,seagull,1,False
char__goblin,char__rat,goblin,rat,3,False
char__god,char__person,god,person,4,False
char__gecko,char__tribesman,gecko,tribesman,3,False
char__masked_torturer,char__vigilant_guard,masked torturer,vigilant guard,2,False
char__fairy,char__ogre,fairy,ogre,1,False
char__congregant,char__king,congregant,king,1,True
char__farmer,char__milk_maid,farmer,milk maid,4,False
char__magical_being,char__steward,magical being,steward,1,False
char__local_artist,char__person,local artist,person,1,False
char__attendee,char__watchman,attendee,watchman,2,False
char__farmer,char__priest,farmer,priest,3,False
char__thief,char__vendor,thief,vendor,6,False
char__adventurer,char__ghost,adventurer,ghost,3,False
char__knight_in_shining_armor,char__mermaid,knight in shining armor,mermaid,3,False
char__gravedigger,char__thief,gravedigger,thief,4,False
char__bat,char__rat,bat,rat,6,False
char__mourner,char__war_officer,mourner,war officer,1,False
char__ogre,char__trolls,ogre,trolls,5,False
char__fighters,char__king,fighters,king,1,True
char__insects,char__parent,insects,parent,2,False
char__altar_boy,char__king,altar boy,king,1,True
char__camera_man,char__child,camera man,child,1,False
char__bears_cubs_it_fights_to_protect,char__wolf,bears cubs it fights to protect,wolf,1,False
char__guard,char__high_priest,guard,high priest,1,False
char__rat,char__servant,rat,servant,8,False
char__drunk_reeling_out_of_the_saloon,char__person,drunk reeling out of the saloon,person,1,False
char__fox,char__mariner,fox,mariner,1,False
char__governor,char__woman,governor,woman,4,False
char__soldier,char__wise_men,soldier,wise men,3,False
char__guard,char__rat,guard,rat,15,False
char__eagle,char__priest,eagle,priest,3,False
char__offender,char__rodent,offender,rodent,1,False
char__ghost,char__grounds_keeper,ghost,grounds keeper,1,False
char__dragon_who_breathes_fire_and_won_t_let_her_out,char__princess_who_lives_in_the_castle_and_can_t_escape,dragon who breathes fire and won't let her out,princess who lives in the castle and can't escape,4,False
char__bird,char__wolves,bird,wolves,3,False
char__member,char__troll,member,troll,1,False
char__explorer,char__homeless_man,explorer,homeless man,3,False
char__bat,char__cockroach,bat,cockroach,4,False
char__guard,char__mystical_lion,guard,mystical lion,1,False
char__blacksmith,char__gnome,blacksmith,gnome,1,False
char__peasant,char__priest,peasant,priest,14,False
char__princess,char__unicorn_groomer,princess,unicorn groomer,2,False
char__cat,char__witch,cat,witch,3,False
char__although_the_temple_is_full_no_one_is_speaking_and_all_you_can_hear_are_muted_scuffling_feet,char__monk,although the temple is full no one is speaking and all you can hear are muted scuffling feet,monk,2,False
char__assassin,char__witch,assassin,witch,1,False
char__fairy,char__ornate_birds,fairy,ornate birds,5,False
char__deckhand,char__woman,deckhand,woman,1,False
char__lady_of_the_hour,char__trolls,lady of the hour,trolls,1,False
char__dignitary,char__queen,dignitary,queen,1,False
char__boat_captain,char__sailor,boat captain,sailor,1,False
char__captain_of_the_guard,char__messenger,captain of the guard,messenger,2,False
char__man_woman,char__person,man woman,person,2,False
char__goddess,char__king,goddess,king,5,True
char__book_keeper,char__townsperson,book keeper,townsperson,1,False
char__child_lost_from_his_mother,char__owner,child lost from his mother,owner,1,False
char__explorer,char__mouse,explorer,mouse,1,False
char__creature,char__lizard,creature,lizard,1,False
char__beaver,char__fish,beaver,fish,11,False
char__fisher,char__stinging_scorpion,fisher,stinging scorpion,1,False
char__nobleman,char__troll,nobleman,troll,1,False
char__king_fulmer,char__preacher,king fulmer,preacher,1,False
char__bodyguard,char__scullery_boy,bodyguard,scullery boy,1,False
char__roach,char__spider,roach,spider,1,False
char__bodyguard,char__intruder,bodyguard,intruder,9,False
char__child,char__foreign_ambassador,child,foreign ambassador,2,False
char__mistress,char__sword_makers,mistress,sword makers,1,False
char__bat_queen,char__resident,bat queen,resident,1,False
char__guest,char__queen,guest,queen,8,False
char__grandmother,char__infant,grandmother,infant,1,False
char__bird,char__dog,bird,dog,6,False
char__beggar,char__person,beggar,person,1,False
char__boatswain,char__captain,boatswain,captain,3,False
char__gamekeeper,char__milk_maid,gamekeeper,milk maid,1,False
char__outlaw,char__robber,outlaw,robber,2,False
char__frog,char__old_men,frog,old men,1,False
char__king,char__wife,king,wife,1,True
char__knight,char__servant,knight,servant,9,False
char__king,char__rival,king,rival,1,True
char__groundskeeper_of_the_castle,char__his_wife,groundskeeper of the castle,his wife,12,False
char__council_man,char__dogs,council man,dogs,2,False
char__jailer,char__rat,jailer,rat,2,False
char__director,char__mayor,director,mayor,4,False
char__bishop,char__traveler,bishop,traveler,2,False
char__bee,char__chameleon,bee,chameleon,1,False
char__insects,char__manservant,insects,manservant,1,False
char__blacksmith_apprentice,char__priest,blacksmith apprentice,priest,2,False
char__resting_travelers,char__student,resting travelers,student,1,False
char__bat,char__soldiers,bat,soldiers,1,False
char__bishop,char__choir_member,bishop,choir member,2,False
char__local_artist,char__town_jester,local artist,town jester,1,False
char__groundskeepers,char__queen,groundskeepers,queen,1,False
char__hunter,char__tourist,hunter,tourist,1,False
char__farm_worker,char__homeless_person,farm worker,homeless person,1,False
char__farmer,char__foreman_ordering_his_workers,farmer,foreman ordering his workers,1,False
char__knight,char__prior,knight,prior,2,False
char__firemen,char__old_man,firemen,old man,2,False
char__adventurer,char__seaman,adventurer,seaman,1,False
char__baby_shower,char__weddings,baby shower,weddings,1,False
char__enchantress,char__frog,enchantress,frog,4,False
char__horse_thieves,char__residents_of_the_cottage,horse thieves,residents of the cottage,1,False
char__proprietor,char__townsperson,proprietor,townsperson,5,False
char__concubine,char__woman,concubine,woman,1,False
char__mage,char__mysterious_owner,mage,mysterious owner,1,False
char__butler,char__queen,butler,queen,1,False
char__cooks,char__man,cooks,man,3,False
char__king_and_queen,char__knight,king and queen,knight,1,False
char__monk,char__nuns,monk,nuns,1,False
char__fool,char__king,fool,king,4,True
char__knight,char__rat,knight,rat,1,False
char__clergy,char__priests,clergy,priests,3,False
char__knight,char__marksman,knight,marksman,3,False
char__librarian,char__person,librarian,person,1,False
char__ancient_king,char__queen,ancient king,queen,5,False
char__king_s_guardsman,char__wench,king's guardsman,wench,4,False
char__craftsman,char__king,craftsman,king,5,True
char__peasant,char__wizard,peasant,wizard,1,False
char__bartender,char__person,bartender,person,1,False
char__fish,char__insects,fish,insects,3,False
char__chambermaid,char__queen,chambermaid,queen,5,False
char__trader,char__trader_s_wife_that_traveled_with_him,trader,trader's wife that traveled with him,4,False
char__servant,char__small_living_thing,servant,small living thing,2,False
char__mourner,char__person,mourner,person,2,False
char__person,char__subject,person,subject,1,False
char__farmer,char__friend_of_farmer,farmer,friend of farmer,2,False
char__royal,char__villager,royal,villager,2,False
char__acolyte_preparing_for_evening_prayer_service,char__ghost,acolyte preparing for evening prayer service,ghost,1,False
char__favored_knight,char__queen,favored knight,queen,1,False
char__evil_witch,char__thief,evil witch,thief,1,False
char__executioner,char__jester,executioner,jester,1,False
char__cook,char__son,cook,son,1,False
char__archaeologists,char__woman,archaeologists,woman,1,False
char__mad_king,char__servant,mad king,servant,1,False
char__crow,char__vulture,crow,vulture,2,False
char__ghost_of_a_miner,char__peasant,ghost of a miner,peasant,1,False
char__king,char__raven,king,raven,1,True
char__guard,char__hangman,guard,hangman,2,False
char__her_maid,char__traveler,her maid,traveler,2,False
char__torturer,char__village_official,torturer,village official,2,False
char__lizards,char__snakes,lizards,snakes,5,False
char__bird,char__spider,bird,spider,2,False
char__cow,char__farmers_wife,cow,farmers wife,3,False
char__high_priestess,char__servant,high priestess,servant,8,False
char__janitor,char__priest,janitor,priest,4,False
char__chamber_maid,char__duke,chamber maid,duke,1,False
char__leper,char__person,leper,person,2,False
char__guest,char__knight,guest,knight,3,False
char__farmers,char__woman,farmers,woman,4,False
char__crow,char__mice,crow,mice,1,False
char__peasant,char__reluctant_nun,peasant,reluctant nun,6,False
char__peasant,char__soldier,peasant,soldier,6,False
char__royal_family_member,char__scribe_constantly_writing,royal family member,scribe constantly writing,2,False
char__cleaning_maid,char__priest,cleaning maid,priest,3,False
char__guard,char__high_priestess,guard,high priestess,3,False
char__guard,char__priest,guard,priest,4,False
char__maester,char__monk,maester,monk,1,False
char__knight,char__squire,knight,squire,8,False
char__witch,char__wizard,witch,wizard,1,False
char__castle_guards,char__worker,castle guards,worker,3,False
char__animal,char__child,animal,child,5,False
char__maid,char__spider,maid,spider,5,False
char__executioner,char__guard,executioner,guard,3,False
char__steward,char__visitor,steward,visitor,8,False
char__fellow_traveler,char__god,fellow traveler,god,3,False
char__person,char__waiter,person,waiter,2,False
char__large_black_vulture,char__priest,large black vulture,priest,4,False
char__mouse,char__traveler,mouse,traveler,1,False
char__animal,char__butterfly,animal,butterfly,6,False
char__doctor,char__person,doctor,person,1,False
char__king,char__king_s_mother_who_sits_at_their_side,king,king's mother who sits at their side,2,True
char__rabbit,char__servant,rabbit,servant,1,False
char__horse_caretaker_trainer,char__knights_in_training,horse caretaker trainer,knights in training,1,False
char__kings,char__peasant,kings,peasant,1,False
char__baby,char__member,baby,member,1,False
char__archer,char__maid,archer,maid,7,False
char__animal,char__organism,animal,organism,3,False
char__chef,char__waitress,chef,waitress,4,False
char__archer,char__village_official,archer,village official,1,False
char__cook,char__enemy,cook,enemy,2,False
char__peasant,char__spider,peasant,spider,5,False
char__king,char__soldiers,king,soldiers,2,True
char__civilian,char__trader,civilian,trader,1,False
