object_id,normalized_name,canonical_name,object_count,episode_count,is_background_object,is_story_relevant_candidate
obj__flower__608f0b98,flower,Flower,5989,555,False,False
obj__fire__015f28b9,fire,Fire,384,29,False,False
obj__meal__d9ed7694,meal,Meal,487,50,False,False
obj__cooking_pot__d6065971,cooking pot,Cooking Pot,255,22,False,False
obj__kitchen__09228dac,kitchen,Kitchen,266,20,False,False
obj__building__1b20e902,building,Building,2136,166,False,False
obj__large_chest_of_drawers__58e773ac,large chest of drawers,Large Chest Of Drawers,337,22,False,True
obj__large_four_poster_bed__9062e6cd,large four poster bed,Large Four Poster Bed,337,22,False,False
obj__plank__05b8b9bd,plank,Plank,319,22,False,False
obj__gauzy_purple_fabric__aef91cd6,gauzy purple fabric,Gauzy Purple Fabric,239,22,False,False
obj__duvet__fbed3603,duvet,Duvet,262,22,False,False
obj__table__aab9e1de,table,Table,8970,666,True,False
obj__king_s_armor__0b27e3d2,king's armor,King'S Armor,108,10,False,True
obj__king_s_clothing__b21f56e5,king's clothing,King'S Clothing,215,22,False,False
obj__gilded_mirror__3470e427,gilded mirror,Gilded Mirror,144,11,False,False
obj__tassel__f7aeb082,tassel,Tassel,258,22,False,False
obj__crossbow_with_no_string__1ef3f353,crossbow with no string,Crossbow With No String,187,18,False,False
obj__largest_trash_heap__4fa556da,largest trash heap,Largest Trash Heap,202,20,False,False
obj__wooden_chair_with_one_leg_broken__937b3306,wooden chair with one leg broken,Wooden Chair With One Leg Broken,239,18,False,False
obj__rag_dool_with_the_head_detached__3a06597d,rag dool with the head detached,Rag Dool With The Head Detached,149,18,False,False
obj__long_skinny_tree__f6769706,long skinny tree,Long Skinny Tree,125,9,False,False
obj__needle__4bf84bab,needle,Needle,326,24,False,False
obj__stone__0a840ef4,stone,Stone,4538,385,False,False
obj__branches__92ec19ff,branches,Branches,453,41,False,False
obj__lamp__263addb7,lamp,Lamp,1019,72,True,False
obj__vine__a77b5176,vine,Vine,1121,89,False,False
obj__twine__3054ce7c,twine,Twine,365,21,False,False
obj__bow__18222660,bow,Bow,697,68,False,False
obj__branch__9603a224,branch,Branch,1106,88,False,False
obj__stick__37f8bf33,stick,Stick,716,61,False,False
obj__hill__debaee4a,hill,Hill,1567,123,False,False
obj__tower__79835ea3,tower,Tower,1585,118,False,False
obj__signal_fire__5c608671,signal fire,Signal Fire,279,21,False,False
obj__hammers__362aa834,hammers,Hammers,259,22,False,False
obj__iron__bcd31c71,iron,Iron,239,20,False,False
obj__tongs__90418476,tongs,Tongs,284,20,False,False
obj__hammer__5f9901fc,hammer,Hammer,378,36,False,False
obj__forge__228410f5,forge,Forge,256,20,False,False
obj__wooden_workbench__2b2f907d,wooden workbench,Wooden Workbench,256,20,False,False
obj__tool__39ab32c5,tool,Tool,2486,217,False,False
obj__large_ornate_carpet__3dd94407,large ornate carpet,Large Ornate Carpet,112,8,False,False
obj__armor__3ee45b1f,armor,Armor,1214,111,False,True
obj__manikin__42da0307,manikin,Manikin,252,19,False,False
obj__mace__22213c39,mace,Mace,580,48,False,False
obj__lance__3573c6ef,lance,Lance,124,11,False,False
obj__shackle__bf676db8,shackle,Shackle,912,76,False,False
obj__worn_quilt__6d462c07,worn quilt,Worn Quilt,233,21,False,False
obj__woven_blue_rug__4044eca6,woven blue rug,Woven Blue Rug,255,21,False,False
obj__wooden_bed__13590b18,wooden bed,Wooden Bed,254,21,False,False
obj__dresser__c4193732,dresser,Dresser,263,21,False,False
obj__priceless_painting_of_past_kings__d46c0026,priceless painting of past kings,Priceless Painting Of Past Kings,246,18,False,False
obj__jewel__29d233ae,jewel,Jewel,1247,122,False,True
obj__red_carpet__268d65fc,red carpet,Red Carpet,1310,96,False,False
obj__crown__408e69f6,crown,Crown,554,53,False,True
obj__golden_throne__7600de15,golden throne,Golden Throne,825,57,False,True
obj__priceless_painting__0da86388,priceless painting,Priceless Painting,240,18,False,False
obj__vaulted_ceiling__d75b1bd9,vaulted ceiling,Vaulted Ceiling,246,18,False,False
obj__small_metal_bucket__f969b62e,small metal bucket,Small Metal Bucket,264,22,False,False
obj__metal_bucket__12d72eba,metal bucket,Metal Bucket,270,23,False,False
obj__sapphire__94149db1,sapphire,Sapphire,990,84,False,False
obj__ruby__58e53d13,ruby,Ruby,783,64,False,False
obj__metal__86094b61,metal,Metal,263,20,False,False
obj__silver__97f01451,silver,Silver,683,58,False,False
obj__small_wooden_bed__29397509,small wooden bed,Small Wooden Bed,318,20,False,False
obj__small_wooden_cabinet__043a76b4,small wooden cabinet,Small Wooden Cabinet,318,20,False,False
obj__wooden_chair__953b4e21,wooden chair,Wooden Chair,389,29,False,False
obj__second_pair_of_clothing__c18eb6a6,second pair of clothing,Second Pair Of Clothing,258,20,False,False
obj__colorful_homemade_quilt__daf8c1cd,colorful homemade quilt,Colorful Homemade Quilt,303,20,False,False
obj__straw_mattress__cc48f53b,straw mattress,Straw Mattress,268,20,False,False
obj__colorful_homemade_tapestry__dabebc4d,colorful homemade tapestry,Colorful Homemade Tapestry,268,20,False,False
obj__waterfall__911b1ca4,waterfall,Waterfall,484,39,False,False
obj__monkey__d0763eda,monkey,Monkey,215,20,False,False
obj__nests__9e4addf3,nests,Nests,365,29,False,False
obj__chandelier__9ac23ec9,chandelier,Chandelier,1403,109,False,False
obj__colorful_painting__35555167,colorful painting,Colorful Painting,233,19,False,False
obj__seat__554e4b55,seat,Seat,1656,128,False,False
obj__gown__c3390dfc,gown,Gown,191,21,False,False
obj__handmade_rug__34c3a1be,handmade rug,Handmade Rug,227,18,False,False
obj__tapestry__8873d146,tapestry,Tapestry,3689,285,False,False
obj__bench__1d28d258,bench,Bench,3112,235,True,False
obj__wildflower__0cf83c1b,wildflower,Wildflower,609,54,False,False
obj__blacksmith__c2428781,blacksmith,Blacksmith,317,20,False,False
obj__armory__f1c6e216,armory,Armory,611,41,False,False
obj__small_wooden_house__d397b27d,small wooden house,Small Wooden House,247,20,False,False
obj__temple__44fdfd6b,temple,Temple,1461,94,False,False
obj__town__7198cda5,town,Town,352,27,False,False
obj__public_bath__46b0f4d1,public bath,Public Bath,112,8,False,False
obj__farm__e67ed91b,farm,Farm,247,20,False,False
obj__pub__3a21cd73,pub,Pub,317,20,False,False
obj__tombstone__dba875f1,tombstone,Tombstone,351,27,False,False
obj__small_metal_fence__202a2879,small metal fence,Small Metal Fence,261,20,False,False
obj__adornment__f215cd95,adornment,Adornment,214,20,False,False
obj__statue__a643f0c6,statue,Statue,3335,246,False,False
obj__ceiling__246b2dd5,ceiling,Ceiling,1727,138,True,False
obj__rectory__af9459b5,rectory,Rectory,267,20,False,False
obj__wood__22811dd9,wood,Wood,2176,193,False,False
obj__pirate__ad015ef4,pirate,Pirate,333,26,False,False
obj__cargo__f91cd5d6,cargo,Cargo,211,19,False,False
obj__clouds__073caed7,clouds,Clouds,475,36,False,False
obj__sky__900bc885,sky,Sky,680,52,False,False
obj__path__d6fe1d0b,path,Path,451,35,False,False
obj__fog__3811727d,fog,Fog,214,16,False,False
obj__suit_of_armor__66f246e8,suit of armor,Suit Of Armor,502,46,False,True
obj__scroll__089b0cdd,scroll,Scroll,421,42,False,True
obj__booth__d20ad56e,booth,Booth,182,16,False,False
obj__sheer_screen__8afeae01,sheer screen,Sheer Screen,182,16,False,False
obj__curtain__2805ba35,curtain,Curtain,669,50,True,False
obj__confessional__f24d3972,confessional,Confessional,154,11,False,False
obj__blacksmith_s_hammer__922ff8c9,blacksmith's hammer,Blacksmith'S Hammer,167,20,False,False
obj__spice__77f4de0c,spice,Spice,704,60,False,False
obj__food__62506be3,food,Food,1736,189,False,False
obj__large_green_land__da6c2794,large green land,Large Green Land,267,20,False,False
obj__house__2ca63cdd,house,House,464,30,False,False
obj__bag__4a827154,bag,Bag,607,61,False,False
obj__filth_from_kingdom__1a138d54,filth from kingdom,Filth From Kingdom,245,19,False,False
obj__horse__f1bdf5ed,horse,Horse,1379,113,False,False
obj__corn__c548ea99,corn,Corn,141,18,False,False
obj__sheep__23ec24c5,sheep,Sheep,478,38,False,False
obj__highly_fortified_tower__d6964cd0,highly fortified tower,Highly Fortified Tower,267,20,False,False
obj__shrub__2f5bae73,shrub,Shrub,1496,121,False,False
obj__scent__8a9191c5,scent,Scent,222,18,False,False
obj__shelf__1f650330,shelf,Shelf,2878,227,True,False
obj__wine__3f206bd2,wine,Wine,826,82,False,False
obj__bar_stool__3d9b3e79,bar stool,Bar Stool,70,5,False,False
obj__market__c1c16452,market,Market,403,31,False,False
obj__tavern__7e2c4fe3,tavern,Tavern,252,20,False,False
obj__tempior_market__261e7a56,tempior market,Tempior Market,252,20,False,False
obj__traveler__8be0c6f8,traveler,Traveler,241,20,False,False
obj__silverware__1d574946,silverware,Silverware,877,70,False,False
obj__beam__5435eeb7,beam,Beam,556,41,False,False
obj__banquet__c0d9ac80,banquet,Banquet,253,21,False,False
obj__ornate_throne__6d2124f0,ornate throne,Ornate Throne,84,8,False,True
obj__fairy_lights__688fba7e,fairy lights,Fairy Lights,252,19,False,False
obj__pulpit__7fe264a8,pulpit,Pulpit,484,37,False,False
obj__pen__03f00e8e,pen,Pen,416,35,False,False
obj__clothes_line__34c6b35a,clothes line,Clothes Line,510,19,False,False
obj__pen_for_the_chickens__00bc2be0,pen for the chickens,Pen For The Chickens,276,24,False,False
obj__plain_pretty_basic_wooden_cabin__178f54fc,plain pretty basic wooden cabin,Plain Pretty Basic Wooden Cabin,255,19,False,False
obj__lean_to_tent__9480ce89,lean-to tent,Lean-To Tent,267,20,False,False
obj__swamp__5d47a77d,swamp,Swamp,732,57,False,False
obj__earth__852488dd,earth,Earth,231,17,False,False
obj__finest_silk_and_velvet__4b240706,finest silk and velvet,Finest Silk And Velvet,435,19,False,False
obj__bed_big__c0df2fb5,bed big,Bed Big,239,19,False,False
obj__pillow__028dbbfa,pillow,Pillow,362,30,False,False
obj__long_wooden_tables__cbdd6e6f,long wooden tables,Long Wooden Tables,247,19,False,False
obj__goblets__9daf09d5,goblets,Goblets,380,36,False,False
obj__incense__9ce99053,incense,Incense,591,57,False,False
obj__cover__41d0e299,cover,Cover,210,20,False,False
obj__carving__99524e31,carving,Carving,257,22,False,False
obj__throne__253d405e,throne,Throne,932,73,False,True
obj__arrow__9022a153,arrow,Arrow,1087,104,False,False
obj__shield__28c69b4c,shield,Shield,587,63,False,True
obj__sword__f3b462d9,sword,Sword,2857,270,False,True
obj__bows__e949ecf5,bows,Bows,549,51,False,False
obj__gun__5161ebb0,gun,Gun,200,18,False,False
obj__axe__c89ee4a2,axe,Axe,875,79,False,False
obj__bow_and_arrow__44d92711,bow and arrow,Bow And Arrow,306,34,False,False
obj__quilts__b4282792,quilts,Quilts,278,19,False,False
obj__drapes__05fa6332,drapes,Drapes,705,57,False,False
obj__fire_place__c3fff920,fire place,Fire Place,301,19,False,False
obj__big_rug__8b300f23,big rug,Big Rug,243,19,False,False
obj__soft_bed__892f4639,soft bed,Soft Bed,243,19,False,False
obj__trinket__e0221e6c,trinket,Trinket,483,42,False,False
obj__big_window__16ada8d1,big window,Big Window,243,19,False,False
obj__bassinet__f68de0d7,bassinet,Bassinet,291,20,False,False
obj__clothes__e7a80f49,clothes,Clothes,570,50,False,False
obj__chair__a09272b5,chair,Chair,5910,458,True,False
obj__little_wooden_stools__e372025a,little wooden stools,Little Wooden Stools,94,9,False,False
obj__stall__f0069dfe,stall,Stall,735,60,False,False
obj__hook__5a582ef1,hook,Hook,506,43,False,False
obj__hay__4982b37a,hay,Hay,1501,140,False,False
obj__basin_for_water__55a3f7f1,basin for water,Basin For Water,354,26,False,False
obj__food_item__8103f77a,food item,Food Item,225,25,False,False
obj__bucket__c2bfd017,bucket,Bucket,753,71,False,False
obj__cabinet__6f796183,cabinet,Cabinet,677,49,False,False
obj__bottles__529ec26c,bottles,Bottles,374,32,False,False
obj__tile__13181d8c,tile,Tile,765,65,False,False
obj__stone_oven__16b9fb23,stone oven,Stone Oven,342,26,False,False
obj__counter__886bb73b,counter,Counter,342,26,False,False
obj__other_tools__4983ca9c,other tools,Other Tools,317,26,False,False
obj__plate__5da21a3e,plate,Plate,2148,190,False,False
obj__cupboard__cba460ea,cupboard,Cupboard,342,26,False,False
obj__stage__9a8c2b9d,stage,Stage,765,62,False,False
obj__tapestrie__a044fda2,tapestrie,Tapestrie,151,14,False,False
obj__long_wooden_dining_table__5e130bd0,long wooden dining table,Long Wooden Dining Table,294,27,False,False
obj__end_table__f29d2ad1,end table,End Table,279,23,False,False
obj__vase__324aeae7,vase,Vase,707,61,False,False
obj__chaises__e2ce35dc,chaises,Chaises,279,23,False,False
obj__wooden_chest__37f24596,wooden chest,Wooden Chest,298,25,False,True
obj__guards_toilet_basin__cb0fb522,guards toilet basin,Guards Toilet Basin,125,11,False,False
obj__bush__dbbc546e,bush,Bush,663,48,False,False
obj__baskets_of_flowers__ccff3130,baskets of flowers,Baskets Of Flowers,131,13,False,False
obj__small_vine__101a74df,small vine,Small Vine,281,23,False,False
obj__plant__9ea0a36b,plant,Plant,2037,165,False,False
obj__cup__f3f58ee4,cup,Cup,490,46,False,False
obj__daimond__60759e19,daimond,Daimond,292,29,False,False
obj__stained_glass_window__d86160f4,stained-glass window,Stained-Glass Window,295,24,False,False
obj__cross__22aadb26,cross,Cross,1811,147,False,False
obj__long_table__bfcbcb84,long table,Long Table,335,24,False,False
obj__picture__5456fc54,picture,Picture,694,58,False,False
obj__polished_gold__49517d05,polished gold,Polished Gold,274,20,False,True
obj__insect__dce41a93,insect,Insect,384,39,False,False
obj__riverbank__fb2793d9,riverbank,Riverbank,283,21,False,False
obj__book__821f0328,book,Book,3088,275,False,True
obj__more_than_king_sized_bed__0b38bafc,more-than-king-sized bed,More-Than-King-Sized Bed,250,22,False,False
obj__desk__b506e098,desk,Desk,822,66,False,False
obj__royal_blue_canopy__6e50eb42,royal blue canopy,Royal Blue Canopy,269,22,False,False
obj__jewelry__449de323,jewelry,Jewelry,658,61,False,False
obj__makeshift_stall__517d1acb,makeshift stall,Makeshift Stall,291,23,False,False
obj__bauble__06dea58b,bauble,Bauble,489,42,False,False
obj__gold_in_his_pocket__bb34f1fa,gold in his pocket,Gold In His Pocket,87,9,False,True
obj__fetilizer__7bcd6e83,fetilizer,Fetilizer,117,10,False,False
obj__cookpot__2bf72dd5,cookpot,Cookpot,208,22,False,False
obj__meat__07202a7e,meat,Meat,404,47,False,False
obj__balcony__d85f7317,balcony,Balcony,300,23,False,False
obj__doorway__8d60d347,doorway,Doorway,543,39,False,False
obj__staircase__7dbf02f9,staircase,Staircase,300,23,False,False
obj__80_foot_tall_bronze_statue_of_a_8_legged_goddess__4a9638b2,80-foot tall bronze statue of a 8 legged goddess,80-Foot Tall Bronze Statue Of A 8 Legged Goddess,56,4,False,False
obj__money__9726255e,money,Money,314,34,False,False
obj__shoe__d8a48e3f,shoe,Shoe,170,18,False,False
obj__wardrobe__e1c8ac33,wardrobe,Wardrobe,198,15,False,False
obj__robe__3950a4dc,robe,Robe,384,34,False,False
obj__crucifix__abea2566,crucifix,Crucifix,276,21,False,False
obj__pillar__590d8d93,pillar,Pillar,766,60,False,False
obj__wheat__d29db4ac,wheat,Wheat,55,5,False,False
obj__boat__dd8fc45d,boat,Boat,1121,87,False,False
obj__bait_buckets__f5cee290,bait buckets,Bait Buckets,42,4,False,False
obj__rope__379e86ff,rope,Rope,1180,119,False,False
obj__cloth__b9d27d6b,cloth,Cloth,1175,98,False,False
obj__central_atrium__23ea1c89,central atrium,Central Atrium,276,23,False,False
obj__gift__a0ec3b46,gift,Gift,336,32,False,False
obj__garden_plot__e5931b57,garden plot,Garden Plot,276,23,False,False
obj__rose__fcdc7b42,rose,Rose,397,42,False,False
obj__hedge__124be636,hedge,Hedge,276,23,False,False
obj__potted_flower__3c3401c5,potted flower,Potted Flower,104,9,False,False
obj__shape_of_a_large_rectangle__01d5ccd1,shape of a large rectangle,Shape Of A Large Rectangle,276,23,False,False
obj__huge_pavilion_of_stone_patio__c02a23dc,huge pavilion of stone patio,Huge Pavilion Of Stone Patio,276,23,False,False
obj__summer_palace__282bef56,summer palace,Summer Palace,276,23,False,False
obj__courtyard__2c2bf458,courtyard,Courtyard,75,6,False,False
obj__arcadian_garden__a23616f9,arcadian garden,Arcadian Garden,276,23,False,False
obj__beautiful_courtyard__708635c3,beautiful courtyard,Beautiful Courtyard,276,23,False,False
obj__stalagmite__b88d9eaf,stalagmite,Stalagmite,545,42,False,False
obj__rotting_meat__33fc2c56,rotting meat,Rotting Meat,254,24,False,False
obj__jug_of_water__77ac54a6,jug of water,Jug Of Water,127,12,False,False
obj__carvings__3ccde912,carvings,Carvings,201,16,False,False
obj__idol__416c1556,idol,Idol,774,61,False,False
obj__towering_arch_of_marble_and_silver__c054e36d,towering arch of marble and silver,Towering Arch Of Marble And Silver,270,20,False,False
obj__walkway__ed97ef15,walkway,Walkway,522,39,False,False
obj__entrance__2a20afe0,entrance,Entrance,459,35,False,False
obj__ornate_stonework__18b116e4,ornate stonework,Ornate Stonework,270,20,False,False
obj__marble_floor__3d7af4f4,marble floor,Marble Floor,303,22,False,False
obj__stands__41157b1d,stands,Stands,168,12,False,False
obj__murals__4744f556,murals,Murals,303,22,False,False
obj__golden_plate__f2ebbf8c,golden plate,Golden Plate,233,21,False,False
obj__hymnal__e376d84e,hymnal,Hymnal,169,16,False,False
obj__ornate_altar__aa16252b,ornate altar,Ornate Altar,275,21,False,False
obj__white_cloth__71e8b3f5,white cloth,White Cloth,261,21,False,False
obj__chalice__d6bd3fcb,chalice,Chalice,411,38,False,False
obj__small_wooden_bowl__262672db,small wooden bowl,Small Wooden Bowl,218,19,False,False
obj__spoon__4b8e2308,spoon,Spoon,283,26,False,False
obj__brown_cloth_door__58e44aef,brown cloth door,Brown Cloth Door,217,19,False,False
obj__primitive_fishing_pole__5fb5778c,primitive fishing pole,Primitive Fishing Pole,111,11,False,False
obj__coffin__7eac63f9,coffin,Coffin,419,36,False,False
obj__sandstone__cde1652e,sandstone,Sandstone,261,20,False,False
obj__kindgdom_s_desert__6d84dcdd,kindgdom's desert,Kindgdom'S Desert,261,20,False,False
obj__towering_mesa__148ef02b,towering mesa,Towering Mesa,98,7,False,False
obj__face__d5ca3224,face,Face,261,20,False,False
obj__crystal_blue_sky__82920573,crystal blue sky,Crystal Blue Sky,135,11,False,False
obj__stack_of_hay__0a23bbbe,stack of hay,Stack Of Hay,254,20,False,False
obj__coconut_tree__42fb71d9,coconut tree,Coconut Tree,508,20,False,False
obj__wooden_boat_part__2d262aa3,wooden boat part,Wooden Boat Part,254,20,False,False
obj__execution_stand__ac2dd07e,execution stand,Execution Stand,319,20,False,False
obj__dog__06d80eb0,dog,Dog,472,37,False,False
obj__flail__a0964006,flail,Flail,94,10,False,False
obj__spears__8ba35d7d,spears,Spears,373,38,False,False
obj__pike__fa7735b7,pike,Pike,337,31,False,False
obj__boulders__317f40e6,boulders,Boulders,393,30,False,False
obj__sun__ebd556e6,sun,Sun,639,48,False,False
obj__banner__12df53fe,banner,Banner,693,53,False,False
obj__dirty_and_grimy_floor__b5a23839,dirty and grimy floor,Dirty And Grimy Floor,267,20,False,False
obj__marbled_floor__2af8ba46,marbled floor,Marbled Floor,267,20,False,False
obj__floor_decor__888617a6,floor decor,Floor Decor,127,10,False,False
obj__decoration__044d1970,decoration,Decoration,446,31,False,False
obj__floor_decorations__9e0bf4cc,floor decorations,Floor Decorations,267,20,False,False
obj__windows__0f4137ed,windows,Windows,267,20,False,False
obj__shack__2d729003,shack,Shack,387,31,False,False
